location,lat,lon,stock_group,distance_km
bonneville,45.644304,-121.938583,Up Col.,519
admiralty,48.146539,-122.720785,South Puget,231
downstream_mission,49.196162,-122.666964,Fraser,349
lower_columbia,46.243011,-123.5771,Low Col.,336
lower_columbia,46.243011,-123.5771,Up Col.,336
san_francisco_bay,37.8471,-122.3873,Cali,1331
