fish_num,alternate_num,tray_id,ubc_id,common_name,specimen_unique_id,juv_ad,fresh_frozen,fork_length_mm,mass_g,comments_length_mass,rna_yn,rna_vial,rna_gill_yn,copy_no_cav_a,copy_no_circv,copy_no_cov,copy_no_ctv_1,copy_no_fa_mar,copy_no_fl_psy,copy_no_hkg,copy_no_ic_hof,copy_no_ic_mul,copy_no_ic_spp,copy_no_lo_sal,copy_no_ortho,copy_no_pa_kab,copy_no_pa_pse,copy_no_pa_ther,copy_no_picv_2,copy_no_prv,copy_no_Qin,copy_no_rhab_3,copy_no_salmv,copy_no_sch,copy_no_smukv_b,copy_no_spav_1_e,copy_no_te_mar,copy_no_ven,copy_no_vhsv,ct_cav_a,ct_circv,ct_cov,ct_ctv_1,ct_fa_mar,ct_fl_psy,ct_hkg,ct_ic_hof,ct_ic_mul,ct_ic_spp,ct_lo_sal,ct_ortho,ct_pa_kab,ct_pa_pse,ct_pa_ther,ct_picv_2,ct_prv,ct_Qin,ct_rhab_3,ct_salmv,ct_sch,ct_smukv_b,ct_spav_1_e,ct_te_mar,ct_ven,ct_vhsv,specimen_id,IF_ES1_668,IF_GILT_669,IF_IL11_291,IF_IL17D_294,IF_MMP13_315,IF_MMP25_316,IF_TXN_683,IM_ARRDC2_663,IM_CLEC4E_666,IM_GLUL_670,IM_HSP90ab-15_270,IM_NAPEPLD_676,IM_NUPR1_677,IM_ODC1_678,IM_TAGLN3_681,IS_HAMP_258,IS_IgMs_289,IS_IL15_293,IS_IL1B_295,IS_MHC2B_312,IS_TF_400,MRS_ATP5G3_181,MRS_C7_189,MRS_FYB_241,MRS_HTATIP_272,MRS_IRF1_299,MRS_KRT2-8_305,MRS_PRAS_350,MRS_SCG_377,OS_CA4_194,OS_CEBPB_665,OS_CFTR-I_206,OS_FKBP5_584,OS_HBA_254,OS_NAKATPASE1a_330,OS_NAKATPASE1b_333,OS_PRLR_596,OS_RGS21_597,OS_SHOP21_384,TM_FKBP10-4_583,TM_HSP70_267,TM_HSP90a-15_269,TM_HSP90a-6_271,TM_MAP3K14_308,TM_SERPIN20_379,TM_SERPIN9_380,VDD_GAL3_72,VDD_HERC6_77,VDD_IFI44A_81,VDD_IFIT5_83,VDD_MX_86,VDD_NFX_87,VDD_RSAD_367,VDD_VHSV_108,VDD_VHSV4_107
M7071,BH1,4048,ubc_onts19_001,Chinook,2019-0050-13-M7071,Adult,Fresh,840,6554.85,,TRUE,BH1,TRUE,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17632.795,0,0,999,999,999,999,999,29,8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13,999,999,172144,1.519999981,-0.059999999,0.189999998,1.080000043,0.029999999,-4.03000021,-1,-2.069999933,-2.160000086,-0.569999993,,-1.169999957,-2.829999924,-0.129999995,1.330000043,-6.590000153,-6.050000191,0.230000004,1,-0.330000013,-11.39999962,-2.25999999,-3.849999905,-0.270000011,-0.050000001,-0.860000014,-0.670000017,0.439999998,0.99000001,-2.400000095,-1.639999986,0.039999999,1.809999943,,0.699999988,-1.460000038,1.5,-1.769999981,-0.74000001,-0.050000001,-0.870000005,-3.74000001,-3.779999971,-0.449999988,0.189999998,0.330000013,0.050000001,-0.589999974,2.299999952,0.340000004,0.430000007,-0.159999996,-0.769999981,0.980000019,-2.710000038
M7072,BH2,4048,ubc_onts19_002,Chinook,2019-0050-13-M7072,Adult,Fresh,880,7477.1,,TRUE,BH2,TRUE,0,0,0,0,0.03,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1,615.4,0,999,999,999,999,31,27,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,22,16.5,999,172145,1.659999967,0.059999999,1.929999948,-0.379999995,-2.210000038,-4.46999979,-1.139999986,-2.700000048,-2.299999952,-0.829999983,,-0.939999998,-2.400000095,0.709999979,1.370000005,-11.26000023,-8.119999886,-0.330000013,1.019999981,0.050000001,-13.84000015,-1.980000019,-7.159999847,-0.289999992,0.389999986,-0.970000029,-1.450000048,0.370000005,-0.090000004,1.139999986,-0.769999981,-0.660000026,-0.800000012,,-1.110000014,-0.779999971,-0.829999983,-2.099999905,-1.539999962,0.519999981,-2.00999999,-3.25,-4.409999847,-0.730000019,-0.389999986,-0.239999995,-1.539999962,-10.34000015,1.850000024,0.200000003,0.189999998,0.170000002,-1.450000048,0.25,-2.079999924
M7073,BH3,4048,ubc_onts19_003,Chinook,2019-0050-13-M7073,Adult,Fresh,920,9530.32,,TRUE,BH3,TRUE,0,0,0,0,0,47.37,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,2.52,4315.49,0,999,999,999,999,999,25,8,999,999,999,999,999,999,999,515,999,999,999,999,999,999,999,999,26,13.5,999,172146,1.279999971,0.050000001,-0.660000026,1.5,-0.920000017,-3.309999943,-0.959999979,-2.019999981,-2.140000105,-1.289999962,,-0.860000014,-3.109999895,-0.230000004,0.50999999,-11.07999992,-3.769999981,0.74000001,0.400000006,1.480000019,-12.84000015,-1.860000014,-5.559999943,-0.039999999,0.170000002,-0.600000024,-1.070000052,-0.150000006,-2.220000029,0.550000012,-1.850000024,0.039999999,0.200000003,,-0.230000004,-0.879999995,1.120000005,-1.320000052,-0.579999983,0.819999993,-2.089999914,-2.190000057,-3.289999962,-0.850000024,-0.349999994,-0.980000019,1.25,-1.519999981,2.829999924,0.75999999,1.480000019,0.050000001,-0.430000007,-11.40999985,-3.440000057
M7074,BH4,4048,ubc_onts19_004,Chinook,2019-0050-13-M7074,Adult,Fresh,850,7222.2,,TRUE,BH4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172147,1.75,0.330000013,-0.370000005,1.100000024,-1.120000005,-3.069999933,-1.340000033,-1.879999995,-2.710000038,-1.389999986,,-0.819999993,-1.950000048,-0.660000026,0.360000014,-10.10000038,-6.230000019,0.349999994,1.159999967,-0.159999996,-12.35000038,-2.460000038,-4.420000076,-0.49000001,-0.02,-0.709999979,-1.090000033,0.189999998,0.720000029,-2.160000086,-2.160000086,-0.310000002,0.300000012,,-0.209999993,-1.620000005,0.360000014,-1.039999962,-0.779999971,0.860000014,-1.460000038,-3.269999981,-3.670000076,-0.469999999,-0.5,-0.649999976,0.400000006,-1.830000043,1.080000043,0.569999993,0.949999988,0.02,-0.920000017,0.340000004,-2.109999895
M7075,BH5,4048,ubc_onts19_005,Chinook,2019-0050-13-M7075,Adult,Fresh,850,7222.2,,TRUE,BH5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.405,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,25.5,999,999,999,999,999,999,999,999,999,999,999,172148,1.539999962,-0.25999999,-0.430000007,1.600000024,0.02,-2.460000038,-0.680000007,-1.409999967,-1.590000033,-0.49000001,,-0.949999988,-2,0.25,0.02,-9.350000381,-4.699999809,0.349999994,0.720000029,0.75,-12.98999977,-2.319999933,-4.380000114,-0.01,0.99000001,-0.360000014,-0.870000005,0.389999986,1.840000033,0.610000014,-0.939999998,-1.50999999,0.850000024,,0.75,-2.069999933,0.980000019,-0.620000005,0.119999997,1.269999981,-0.620000005,-2.140000105,-3.450000048,-0.159999996,-0.170000002,-0.370000005,1.75999999,-0.5,1.690000057,0.140000001,1.090000033,0.469999999,-0.720000029,0.639999986,-2.609999895
M7077,BH7,4048,ubc_onts19_007,Chinook,2019-0050-13-M7077,Adult,Fresh,860,7614.8,,TRUE,BH7,TRUE,0,0,0,0,0,0,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172150,1.519999981,0.050000001,0.75999999,0.75,0.029999999,-4.059999943,-1.399999976,-1.669999957,-2.390000105,-0.920000017,,-0.610000014,-1.799999952,-0.349999994,1.049999952,-9.670000076,-5.260000229,0.029999999,1.419999957,1.080000043,-11.59000015,-2.349999905,-5.260000229,-0.310000002,0.310000002,-0.389999986,-0.079999998,0.529999971,0.529999971,-0.649999976,-1.820000052,1.75999999,-0.589999974,,0.050000001,0.230000004,0.970000029,-2.029999971,-2.099999905,1.129999995,-1.039999962,-3.019999981,-3.650000095,-0.75999999,-0.779999971,-0.389999986,0.310000002,0.829999983,3.269999981,0.720000029,1.779999971,0.810000002,-1.039999962,1.200000048,-2.339999914
M7078,BH8,4048,ubc_onts19_008,Chinook,2019-0050-13-M7078,Adult,Fresh,860,7307.16,,TRUE,BH8,TRUE,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,331.55,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,27,999,8,999,999,999,999,999,999,999,20,999,999,999,999,999,999,999,999,999,999,999,172151,1.600000024,-0.819999993,-0.25999999,0.07,-1.399999976,-3.420000076,-0.300000012,-1.99000001,-1.980000019,-0.790000021,,-0.670000017,-3.279999971,-0.07,-0.230000004,-10.31000042,-5.21999979,-0.07,0.230000004,0.25,-14.53999996,-3.130000114,-6.159999847,-0.289999992,0.50999999,-0.200000003,-0.939999998,0.730000019,0.939999998,-1.309999943,-1.75,-1.090000033,0.829999983,,-0.109999999,-2.170000076,0.75999999,-2.25,-0.920000017,1.169999957,-1.429999948,-3.49000001,-3.170000076,-0.790000021,-0.079999998,0.039999999,0.680000007,-1.950000048,1.460000038,1.139999986,0.430000007,0.180000007,-0.370000005,-0.829999983,-1.840000033
M7079,BH9,4048,ubc_onts19_009,Chinook,2019-0050-13-M7079,Adult,Fresh,830,7052.26,,TRUE,BH9,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172152,1.559999943,-0.289999992,0.629999995,0.949999988,-1.730000019,-3.450000048,-2.190000057,-2.49000001,-2.200000048,-0.75999999,,-0.74000001,-2.339999914,-1.860000014,0.469999999,-8.520000458,-6.519999981,0.300000012,0.409999996,-0.75999999,-13.17000008,-1.860000014,-4.309999943,-0.579999983,-0.189999998,-1,-0.959999979,0.379999995,0.610000014,-2.039999962,-2.539999962,-0.689999998,0.129999995,,0.189999998,-1.710000038,0.579999983,-1.74000001,-1.00999999,-0.100000001,-1.710000038,-3.109999895,-4.019999981,-0.800000012,-1.299999952,-1.429999948,0.289999992,-0.600000024,3.390000105,1.110000014,1.25999999,0.090000004,0.400000006,0.230000004,-2.730000019
M7080,BH10,4048,ubc_onts19_010,Chinook,2019-0050-13-M7080,Adult,Fresh,820,7113.2,,TRUE,BH10,TRUE,0,0,0,0,0,0,0,0,0,0,49.265,0,0,0,71.34,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,8,999,999,999,21,999,999,999,22,999,999,999,999,999,999,999,999,999,999,999,172153,1.190000057,0.829999983,0.870000005,0.610000014,-2.440000057,-2.730000019,-2.180000067,-2.630000114,-1.840000033,-1.179999948,,-1.399999976,-4.460000038,0.790000021,0.980000019,-10.52000046,-4.480000019,0.230000004,0.670000017,-0.159999996,-13.88000011,-2.460000038,-5.860000134,-0.469999999,0.300000012,-0.899999976,-0.639999986,0.330000013,0.330000013,0.930000007,-1.100000024,-0.600000024,-0.870000005,,-1.350000024,-1.25,-0.239999995,-1.179999948,-0.349999994,1.360000014,-1.370000005,-3.079999924,-3.619999886,-0.829999983,0.07,-0.280000001,1.090000033,-1.75,1.389999986,0.519999981,0.639999986,0.100000001,-0.930000007,0.289999992,-3.349999905
M7081,BH11,4048,ubc_onts19_011,Chinook,2019-0050-13-M7081,Adult,Fresh,940,10108.42,,TRUE,BH11,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172154,1.49000001,-1.179999948,0.610000014,1.549999952,-0.439999998,-4.460000038,-1.139999986,-1.820000052,-1.980000019,-1.799999952,,-1.049999952,-2.849999905,-0.800000012,1.230000019,-9.390000343,-6.019999981,-0.159999996,1,-0.330000013,-11.51000023,-2.119999886,-3.670000076,-0.790000021,-0.280000001,-1.539999962,-1.269999981,0.49000001,0.769999981,-1.440000057,-2.029999971,-1.75999999,-1.070000052,,0.009834433,-1.980000019,0.600000024,-2.059999943,-0.07,-0.25,-1.840000033,-3.119999886,-3.619999886,-0.699999988,-1.350000024,-1.419999957,0.25999999,-3.210000038,0.920000017,-0.02,0.529999971,-0.310000002,-0.870000005,-0.170000002,-2.440000057
