fish_num,alternate_num,tray_id,ubc_id,common_name,specimen_unique_id,juv_ad,fresh_frozen,fork_length_mm,mass_g,comments_length_mass,rna_yn,rna_vial,rna_gill_yn,copy_no_cav_a,copy_no_circv,copy_no_cov,copy_no_ctv_1,copy_no_fa_mar,copy_no_fl_psy,copy_no_hkg,copy_no_ic_hof,copy_no_ic_mul,copy_no_ic_spp,copy_no_lo_sal,copy_no_ortho,copy_no_pa_kab,copy_no_pa_pse,copy_no_pa_ther,copy_no_picv_2,copy_no_prv,copy_no_Qin,copy_no_rhab_3,copy_no_salmv,copy_no_sch,copy_no_smukv_b,copy_no_spav_1_e,copy_no_te_mar,copy_no_ven,copy_no_vhsv,ct_cav_a,ct_circv,ct_cov,ct_ctv_1,ct_fa_mar,ct_fl_psy,ct_hkg,ct_ic_hof,ct_ic_mul,ct_ic_spp,ct_lo_sal,ct_ortho,ct_pa_kab,ct_pa_pse,ct_pa_ther,ct_picv_2,ct_prv,ct_Qin,ct_rhab_3,ct_salmv,ct_sch,ct_smukv_b,ct_spav_1_e,ct_te_mar,ct_ven,ct_vhsv,specimen_id,IF_ES1_668,IF_GILT_669,IF_IL11_291,IF_IL17D_294,IF_MMP13_315,IF_MMP25_316,IF_TXN_683,IM_ARRDC2_663,IM_CLEC4E_666,IM_GLUL_670,IM_HSP90ab-15_270,IM_NAPEPLD_676,IM_NUPR1_677,IM_ODC1_678,IM_TAGLN3_681,IS_HAMP_258,IS_IgMs_289,IS_IL15_293,IS_IL1B_295,IS_MHC2B_312,IS_TF_400,MRS_ATP5G3_181,MRS_C7_189,MRS_FYB_241,MRS_HTATIP_272,MRS_IRF1_299,MRS_KRT2-8_305,MRS_PRAS_350,MRS_SCG_377,OS_CA4_194,OS_CEBPB_665,OS_CFTR-I_206,OS_FKBP5_584,OS_HBA_254,OS_NAKATPASE1a_330,OS_NAKATPASE1b_333,OS_PRLR_596,OS_RGS21_597,OS_SHOP21_384,TM_FKBP10-4_583,TM_HSP70_267,TM_HSP90a-15_269,TM_HSP90a-6_271,TM_MAP3K14_308,TM_SERPIN20_379,TM_SERPIN9_380,VDD_GAL3_72,VDD_HERC6_77,VDD_IFI44A_81,VDD_IFIT5_83,VDD_MX_86,VDD_NFX_87,VDD_RSAD_367,VDD_VHSV_108,VDD_VHSV4_107
M7082,BH12,4048,ubc_onts19_012,Chinook,2019-0050-13-M7082,Adult,Fresh,920,9351.35,,TRUE,BH12,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,34.77,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,8,999,999,999,999,999,999,28.5,22.5,999,999,999,999,999,999,999,999,999,999,999,172155,1.279999971,0.140000001,0.289999992,0.959999979,-0.340000004,-3.650000095,-1.519999981,-1.940000057,-1.99000001,-1.220000029,,-0.939999998,-3.019999981,0.140000001,0.330000013,-9.539999962,-4.849999905,0.569999993,0.920000017,-0.310000002,-12.73999977,-2.539999962,-4.78000021,-0.430000007,0.319999993,-0.289999992,-0.879999995,0.50999999,0.699999988,2.730000019,-1.330000043,-1.299999952,-0.460000008,,-0.400000006,-2.609999895,0.270000011,-0.889999986,-0.430000007,1.269999981,-2.900000095,-2.529999971,-3.400000095,-0.439999998,-0.07,-0.25999999,1.440000057,-0.25999999,3.180000067,0.790000021,2.130000114,0.790000021,1.299999952,0.660000026,-1.110000014
M7083,BH13,4048,ubc_onts19_013,Chinook,2019-0050-13-M7083,Adult,Fresh,1005,13565.78,,TRUE,BH13,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9683.86,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,15,999,999,999,999,999,999,999,999,999,999,999,172156,1.450000048,0.550000012,0.670000017,0.50999999,-1.149999976,-1.730000019,-1.360000014,-1.710000038,-1.649999976,-1.049999952,,-0.560000002,-1.919999957,-0.004848383,0.039999999,-7.880000114,-0.819999993,1.070000052,0.74000001,1.940000057,-11.39000034,-1.74000001,-5.699999809,0.25,0.5,0.289999992,-0.389999986,0.819999993,-0.819999993,0.050000001,-1.529999971,-0.839999974,0.709999979,,0.910000026,-1.559999943,0.639999986,-0.219999999,-1.200000048,0.720000029,-1.120000005,-1.889999986,-3.630000114,0.699999988,0.230000004,0.200000003,1.899999976,3.5,5.21999979,3.680000067,3.799999952,2.150000095,4.860000134,-1.129999995,1.600000024
M7084,BH14,4048,ubc_onts19_014,Chinook,2019-0050-13-M7084,Adult,Fresh,840,6698.12,,TRUE,BH14,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172157,1.570000052,-0.5,1.019999981,0.140000001,-0.419999987,-4.099999905,-1.409999967,-2.029999971,-3.74000001,-1.139999986,,-0.74000001,-2.670000076,0.02,2.519999981,-8.989999771,-6.409999847,-0.25999999,1.370000005,1.309999943,-14.03999996,-1.309999943,-5.340000153,-0.079999998,-0.180000007,-1.620000005,-0.769999981,1.029999971,1.580000043,-2.650000095,-0.829999983,0.109999999,0.003076935,,0.100000001,-1.409999967,0.680000007,-2.309999943,-2.670000076,0.569999993,-1.75999999,-2.170000076,-4.070000172,-0.879999995,-0.449999988,-0.079999998,-0.150000006,-1.279999971,1.769999981,0.439999998,1.25999999,0.090000004,-0.680000007,-1.49000001,-2.74000001
M7085,BH15,4048,ubc_onts19_015,Chinook,2019-0050-13-M7085,Adult,Fresh,850,7373.44,,TRUE,BH15,TRUE,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,8,999,999,32,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172158,1.970000029,0.189999998,0.610000014,1.379999995,-0.779999971,-2.700000048,-0.939999998,-1.190000057,-2.150000095,-0.07,,-1.190000057,-2.869999886,0.079999998,0.680000007,-8.470000267,-4.150000095,0.050000001,0.970000029,1.230000019,-12.23999977,-2.00999999,-4.730000019,0.100000001,0.589999974,-0.819999993,-0.409999996,0.709999979,1.779999971,0.140000001,-1.279999971,0.129999995,0.090000004,,0.119999997,-1.210000038,0.140000001,-1.960000038,-0.280000001,1.129999995,-0.639999986,-3.00999999,-4.369999886,0.039999999,-0.180000007,-0.689999998,0.779999971,-9.550000191,1.960000038,0.720000029,0.769999981,0.479999989,-1.710000038,1.350000024,-1.919999957
M7086,BH16,4048,ubc_onts19_016,Chinook,2019-0050-13-M7086,Adult,Fresh,900,8802.88,,TRUE,BH16,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.97,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,22,999,999,999,999,999,999,999,999,999,999,999,172159,1.710000038,0.529999971,2.170000076,1.059999943,-1.570000052,-3.769999981,-2.99000001,-1.320000052,-2.609999895,-0.439999998,,-0.579999983,-1.470000029,-0.980000019,1.480000019,-9.069999695,-4.21999979,0.370000005,1.190000057,-0.090000004,-14.06000042,-1.960000038,-5.5,-0.5,0.400000006,-0.330000013,-0.419999987,0.610000014,0.219999999,0.720000029,-1.840000033,1,0.209999993,,-1.330000043,-0.129999995,-0.079999998,-1.769999981,0.079999998,1.179999948,-1.169999957,-2.039999962,-2.650000095,-0.360000014,-0.029999999,-0.003570714,0.709999979,-3.099999905,0.790000021,0.479999989,1.679999948,0.319999993,-0.519999981,0.289999992,-2.299999952
M7087,BH17,4048,ubc_onts19_017,Chinook,2019-0050-13-M7087,Adult,Fresh,890,9046.42,,TRUE,BH17,TRUE,0,0,0,0,0,18.37,0,0,0,36.91,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,999,999,999,999,999,27,8,999,999,26,999,999,999,999,999,999,999,999,999,999,29,999,999,999,999,999,172160,1.169999957,-0.219999999,-0.99000001,0.720000029,-1.230000019,-5.349999905,-1.980000019,-2.170000076,-2.650000095,-1.019999981,,-1.110000014,-2.230000019,-0.319999993,0.200000003,-11.31999969,-6.409999847,-0.529999971,0.109999999,0.790000021,-13.07999992,-2.519999981,-6.489999771,-0.889999986,0.340000004,-0.50999999,-1.50999999,0.200000003,0.439999998,-0.01,-2.74000001,0.150000006,-1.909999967,,-0.579999983,-1.019999981,0.389999986,-2.410000086,-0.879999995,1.029999971,-2.039999962,-3.069999933,-2.650000095,-1.039999962,0.319999993,0.090000004,0.649999976,-2.609999895,2.019999981,0.280000001,0.330000013,0.002226963,-2.710000038,-0.389999986,-3.5
M7088,BH18,4048,ubc_onts19_018,Chinook,2019-0050-13-M7088,Adult,Fresh,980,11132.17,,TRUE,BH18,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.425,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,8,999,999,999,999,999,999,999,23,999,999,999,999,999,999,999,999,999,999,999,172161,1.419999957,0.600000024,-0.479999989,0.560000002,-1.309999943,-2.539999962,-1.960000038,-1.679999948,-3.299999952,-1.25999999,,-0.800000012,-2.410000086,0.389999986,0.99000001,-10.89999962,-6.78000021,-0.039999999,0.589999974,0.670000017,-13.64999962,-1.649999976,-6.519999981,0.159999996,-0.050000001,-0.569999993,-0.800000012,0.629999995,-0.409999996,0.400000006,-1.50999999,1.25999999,-0.689999998,,-1.179999948,0.360000014,-0.230000004,-1.360000014,-0.649999976,1.320000052,-1.470000029,-2.329999924,-3.299999952,-0.419999987,0.980000019,0.819999993,0.119999997,-2.529999971,1.789999962,-0.709999979,0.560000002,0.129999995,-2.569999933,-1.220000029,-3.380000114
M7089,BH19,4048,ubc_onts19_019,Chinook,2019-0050-13-M7089,Adult,Fresh,880,8276.25,,TRUE,BH19,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172162,0.779999971,0.230000004,1.029999971,-1.00999999,-1.629999995,-2.299999952,-2.109999895,-2.150000095,-1.980000019,-1.370000005,,-0.270000011,-2.599999905,0.25999999,1.399999976,-11.97999954,-4.869999886,0.270000011,0.310000002,0.200000003,-12.89000034,-1.559999943,-7.119999886,-0.649999976,-0.119999997,-0.029999999,-1.279999971,1.090000033,0.230000004,1.049999952,-1.809999943,0.409999996,-0.189999998,,-0.25,-0.140000001,0.50999999,-1.450000048,-2.119999886,0.860000014,-1.470000029,-2.710000038,-3.680000067,-0.25,-0.790000021,-1.370000005,-0.5,-3.049999952,2.119999886,0.170000002,0.829999983,0.02,-0.790000021,0.119999997,-2.779999971
M7090,BH20,4048,ubc_onts19_020,Chinook,2019-0050-13-M7090,Adult,Fresh,860,6422.31,,TRUE,BH20,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,27.5,999,999,999,999,999,999,999,999,999,999,999,999,172163,2.710000038,1.330000043,0.280000001,0.469999999,-0.209999993,-2.589999914,-1.75,-1.00999999,-2.049999952,-0.529999971,,-0.409999996,-1.570000052,0.460000008,1.649999976,-8.470000267,-4.900000095,0.540000021,1.909999967,0.949999988,-13.02000046,-1.809999943,-6.309999943,-0.129999995,0.270000011,-0.100000001,-0.720000029,0.560000002,0.949999988,1.320000052,-0.519999981,0.620000005,-0.02,,-0.519999981,-0.370000005,0.589999974,-0.07,-1.059999943,0.99000001,-0.779999971,-1.720000029,-2.779999971,-0.039999999,0.25999999,0.059999999,0.819999993,-2.589999914,1.830000043,-0.25,1.25,0.159999996,-2.059999943,1.129999995,-3.980000019
M7091,BH21,4048,ubc_onts19_021,Chinook,2019-0050-13-M7091,Adult,Fresh,830,6476.82,,TRUE,BH21,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172164,1.529999971,0.419999987,0.170000002,0.01,-0.660000026,-2.799999952,-1.210000038,-2.029999971,-2.549999952,-1.039999962,,-0.430000007,-2.299999952,-0.02,1.070000052,-10.93000031,-5.090000153,-0.270000011,1.039999962,0.75,-12.40999985,-2.019999981,-8.619999886,-0.230000004,-0.200000003,-0.620000005,-0.910000026,0.850000024,0.519999981,2.349999905,-2.079999924,1.049999952,-0.430000007,,-0.769999981,0.460000008,-0.150000006,-1.590000033,-2.960000038,1.340000033,-1.179999948,-1.879999995,-3.950000048,-0.319999993,0.439999998,0.620000005,-0.349999994,-3.180000067,0.400000006,-0.310000002,0.109999999,0.129999995,-3.380000114,-1.429999948,-3.660000086
M7092,BH22,4048,ubc_onts19_022,Chinook,2019-0050-13-M7092,Adult,Fresh,860,7771,,TRUE,BH22,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172165,1.590000033,0.980000019,-0.230000004,0.779999971,-1.049999952,-3.400000095,-1.929999948,-1.200000048,-3,-0.879999995,,-0.930000007,-2.359999895,-0.159999996,1.830000043,-10.27000046,-7.28000021,0.119999997,1.330000043,1.429999948,-12.14999962,-1.879999995,-6.510000229,-0.119999997,0.310000002,-0.699999988,-0.699999988,0.980000019,-0.109999999,2.079999924,-1.559999943,0.330000013,-0.50999999,,-0.119999997,-0.560000002,0.340000004,-1.179999948,-1.360000014,1.110000014,-1.769999981,-2.609999895,-3.400000095,0.050000001,0.029999999,-0.519999981,0.660000026,-1.669999957,1.549999952,0.430000007,1.139999986,0.519999981,-1.399999976,-1.149999976,-3.339999914
M7093,BH23,4048,ubc_onts19_023,Chinook,2019-0050-13-M7093,Adult,Fresh,965,9996.48,,TRUE,BH23,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,172166,1.879999995,0.769999981,0.170000002,0.99000001,0.200000003,-2.829999924,-1.019999981,-1.289999962,-3.170000076,-0.300000012,,-0.779999971,-1.309999943,0.330000013,1.289999962,-8.859999657,-6,-0.079999998,1.379999995,0.910000026,-11.72999954,-2.220000029,-6.860000134,0.180000007,0.400000006,-0.5,0.01,0.790000021,0.540000021,-0.360000014,-0.720000029,1.450000048,0.270000011,,0.090000004,-0.009663522,0.720000029,-0.879999995,-1.929999948,1.100000024,-1.149999976,-3.059999943,-3.730000019,-0.029999999,-0.289999992,-0.709999979,0.02,-2.299999952,2.390000105,0.629999995,1.470000029,0.649999976,0.200000003,0.860000014,-2.859999895
