stock_group,array_num,segment_name,mean_lat2,mean_lon2,dist
Cali,1,Release,48.62146176,-125.6922245,0
Cali,2,"WCVI/
Salish Sea",48.35992525,-124.2474633,110
Cali,3,NW WA,47.84808907,-124.8852894,105
Cali,4,SW WA,46.55087,-124.2763533,152
Cali,5,Central CA,37.9057195,-122.5763833,1035
Cali,6,In River,38.81003713,-121.5155756,176
Fraser,1,Release,48.68427267,-125.6882868,0
Fraser,2,Outside Shelf,48.55932796,-125.1039101,45
Fraser,3,Juan de Fuca,48.39862136,-124.072754,78
Fraser,4,Strait of Georgia,48.70172463,-123.2278602,109
Fraser,5,Downstream Mission,49.20162418,-122.6283036,110
Fraser,6,Upstream Mission,49.12801243,-122.3216294,25
Low Col.,1,Release,48.72425506,-125.6673587,0
Low Col.,2,"WCVI/
Salish Sea",48.65142223,-125.1575053,39
Low Col.,3,NW WA,47.76123081,-124.6781172,106
Low Col.,4,SW WA,46.42998289,-124.1363722,152
Low Col.,5,Lower Col.,46.24504086,-123.4098888,77
Low Col.,6,Bonneville,45.6346501,-121.8935819,176
South Puget,1,Release,48.73314301,-125.6532287,0
South Puget,2,Outside Shelf,48.6293465,-125.0655355,45
South Puget,3,Juan de Fuca,48.29811638,-124.0284135,85
South Puget,4,Strait of Georgia,48.46020024,-123.3021462,72
South Puget,5,Puget Sound,47.90070179,-122.5487779,80
South Puget,6,In River,47.38747032,-122.7577967,62
Up Col.,1,Release,48.67828781,-125.7105257,0
Up Col.,2,"WCVI/
Salish Sea",48.68577323,-125.20841,37
Up Col.,3,NW WA,47.77066678,-124.8072751,106
Up Col.,4,SW WA,46.36221645,-124.10684,164
Up Col.,5,Lower Col.,46.23503757,-123.4114186,68
Up Col.,6,Bonneville,45.64688978,-121.9391624,166
Up Col.,7,In River,46.03390008,-120.005856,199
