fish_num,pdate,fishingset_year,fishingset_location,latitude,longitude,fork_length_mm,mass_g,hatchery_wild,tmar_load,species,lifestage,capture,cons_unit
M7119,7/22/2019,2019,PORT RENFREW,48.6781,-124.90845,880,7951.72,NA,0,chinook,adult,troll,NA
M7120,7/22/2019,2019,PORT RENFREW,48.6781,-124.9139167,885,8995.59,NA,0,chinook,adult,troll,NA
M7121,7/22/2019,2019,PORT RENFREW,48.67853333,-124.913,830,7199.95,NA,0,chinook,adult,troll,NA
M7122,7/22/2019,2019,PORT RENFREW,48.67956667,-124.91235,895,9097.24,NA,1.555,chinook,adult,troll,NA
M7123,7/23/2019,2019,PORT RENFREW,48.67765,-124.9123333,875,9409.43,NA,0,chinook,adult,troll,NA
M7124,7/23/2019,2019,PORT RENFREW,48.67951667,-124.9171167,860,7307.16,NA,0,chinook,adult,troll,NA
M7125,7/23/2019,2019,PORT RENFREW,48.53678333,-124.4582833,910,10151.6,NA,0,chinook,adult,troll,NA
M7126,7/23/2019,2019,PORT RENFREW,48.53641667,-124.4580833,950,11785.49,NA,0,chinook,adult,troll,NA
M7127,7/24/2019,2019,PORT RENFREW,48.55341667,-124.55695,850,6068.65,NA,0,chinook,adult,troll,NA
M7128,7/24/2019,2019,PORT RENFREW,48.55236667,-124.5540667,845,8426.19,NA,0,chinook,adult,troll,NA
M7129,7/25/2019,2019,PORT RENFREW,48.56616667,-124.6239167,825,6437.8,NA,0,chinook,adult,troll,NA
M7130,7/25/2019,2019,PORT RENFREW,48.56635,-124.62105,840,7437.71,NA,0,chinook,adult,troll,NA
M7131,7/26/2019,2019,PORT RENFREW,48.56423333,-124.6192833,915,8776.66,NA,0,chinook,adult,troll,NA
M7132,7/26/2019,2019,PORT RENFREW,48.56401667,-124.6155,830,6761.48,NA,0,chinook,adult,troll,NA
M7133,7/29/2019,2019,PORT RENFREW,48.56458333,-124.61445,825,5890.16,NA,0,chinook,adult,troll,NA
M7134,7/29/2019,2019,PORT RENFREW,48.56543333,-124.61835,925,9402.17,NA,37.28,chinook,adult,troll,NA
M7135,7/29/2019,2019,PORT RENFREW,48.56436667,-124.61645,870,8509.45,NA,1.19,chinook,adult,troll,NA
M7136,7/29/2019,2019,PORT RENFREW,48.56288333,-124.6127,820,5988.28,NA,237.925,chinook,adult,troll,NA
M7137,7/30/2019,2019,PORT RENFREW,48.56478333,-124.6127,920,8824.62,NA,0.725,chinook,adult,troll,NA
M7138,7/30/2019,2019,PORT RENFREW,48.55235,-124.5510667,820,6967.3,NA,1.28,chinook,adult,troll,NA
M7139,7/31/2019,2019,PORT RENFREW,48.5656,-124.6295167,815,5818.77,NA,0.945,chinook,adult,troll,NA
M7140,7/31/2019,2019,PORT RENFREW,48.56651667,-124.6209833,1005,12901.44,NA,0,chinook,adult,troll,NA
M7141,7/31/2019,2019,PORT RENFREW,48.56473333,-124.6164667,840,6989.31,NA,0,chinook,adult,troll,NA
M7142,8/1/2019,2019,PORT RENFREW,48.56403333,-124.6179667,855,9024.88,NA,0,chinook,adult,troll,NA
M7143,8/1/2019,2019,PORT RENFREW,48.56425,-124.6168167,920,8824.62,NA,0,chinook,adult,troll,NA
M7144,8/1/2019,2019,PORT RENFREW,48.56433333,-124.6199167,860,7614.8,NA,0,chinook,adult,troll,NA
M7145,8/1/2019,2019,PORT RENFREW,48.56488333,-124.61665,840,6698.12,NA,0,chinook,adult,troll,NA
M7146,8/1/2019,2019,PORT RENFREW,48.5675,-124.6290333,870,7861.36,NA,0,chinook,adult,troll,NA
M7147,8/1/2019,2019,PORT RENFREW,48.56675,-124.62525,910,10151.6,NA,0,chinook,adult,troll,NA
M7148,8/1/2019,2019,PORT RENFREW,48.55158333,-124.6227333,850,7994.1,NA,0,chinook,adult,troll,NA
M7149,8/2/2019,2019,PORT RENFREW,48.564,-124.6172667,810,6320.75,NA,0,chinook,adult,troll,NA
M7150,8/2/2019,2019,PORT RENFREW,48.56385,-124.6144667,820,6680.02,NA,0,chinook,adult,troll,NA
M7151,8/2/2019,2019,PORT RENFREW,48.56491667,-124.6195,925,9947.12,NA,0,chinook,adult,troll,NA
M7152,8/5/2019,2019,PORT RENFREW,48.56458333,-124.6227667,850,7222.2,NA,0,chinook,adult,troll,NA
M7153,8/5/2019,2019,PORT RENFREW,48.56448333,-124.6196333,815,6639.28,NA,0,chinook,adult,troll,NA
M7154,8/5/2019,2019,PORT RENFREW,48.56306667,-124.6125333,800,6242.72,NA,0,chinook,adult,troll,NA
M7155,8/5/2019,2019,PORT RENFREW,48.56855,-124.6317333,825,5495.41,NA,0,chinook,adult,troll,NA
M7156,8/6/2019,2019,PORT RENFREW,48.56531667,-124.6203667,875,7590.31,NA,0,chinook,adult,troll,NA
M7157,8/6/2019,2019,PORT RENFREW,48.5663,-124.6231,860,7614.8,NA,0,chinook,adult,troll,NA
M7158,8/6/2019,2019,PORT RENFREW,48.56881667,-124.6372,875,8392.98,NA,0,chinook,adult,troll,NA
M7159,8/6/2019,2019,PORT RENFREW,48.56538333,-124.6181167,885,8995.59,NA,0,chinook,adult,troll,NA
M7160,8/6/2019,2019,PORT RENFREW,48.56638333,-124.6213,850,7526.26,NA,0,chinook,adult,troll,NA
M7161,8/6/2019,2019,PORT RENFREW,48.56621667,-124.6207667,925,10132.17,NA,0,chinook,adult,troll,NA
M7162,8/6/2019,2019,PORT RENFREW,48.56515,-124.6163167,840,6554.85,NA,0,chinook,adult,troll,NA
M7163,8/8/2019,2019,PORT RENFREW,48.56621667,-124.6214,860,8088.15,NA,0,chinook,adult,troll,NA
M7164,8/8/2019,2019,PORT RENFREW,48.56368333,-124.6213833,845,6451.3,NA,0,chinook,adult,troll,NA
M7165,8/9/2019,2019,PORT RENFREW,48.56398333,-124.6158333,805,6011.58,NA,0,chinook,adult,troll,NA
M7166,8/9/2019,2019,PORT RENFREW,48.56368333,-124.619,955,11847.52,NA,0,chinook,adult,troll,NA
M7167,8/9/2019,2019,PORT RENFREW,48.56401667,-124.6137833,870,8020.98,NA,0,chinook,adult,troll,NA
M7168,8/9/2019,2019,PORT RENFREW,48.56688333,-124.6253833,860,8411.64,NA,1.14,chinook,adult,troll,NA
M7169,8/9/2019,2019,PORT RENFREW,48.56453333,-124.6203833,860,7928.78,NA,0,chinook,adult,troll,NA
M7170,8/9/2019,2019,PORT RENFREW,48.56665,-124.6277167,875,8392.98,NA,5422.325,chinook,adult,troll,NA
N4401,8/17/2020,2020,PORT RENFREW,48.56525,-124.6203333,885,8825.06,NA,153.03,chinook,adult,troll,NA
N4402,8/17/2020,2020,PORT RENFREW,48.56768333,-124.6271667,930,10186.94,NA,0,chinook,adult,troll,NA
N4404,8/18/2020,2020,PORT RENFREW,48.566,-124.6212333,860,8088.15,NA,33.83,chinook,adult,troll,NA
N4405,8/18/2020,2020,PORT RENFREW,48.56495,-124.6207667,865,8460.55,NA,2.375,chinook,adult,troll,NA
N4406,8/19/2020,2020,PORT RENFREW,48.56485,-124.61635,915,8267.98,NA,11.26,chinook,adult,troll,NA
N4407,8/24/2020,2020,PORT RENFREW,48.56488333,-124.6219,780,6490.08,NA,1.1,chinook,adult,troll,NA
N4408,8/24/2020,2020,PORT RENFREW,48.56503333,-124.62,870,8675.49,NA,8.385,chinook,adult,troll,NA
N4409,8/24/2020,2020,PORT RENFREW,48.5656,-124.6200667,745,5440.57,NA,1.95,chinook,adult,troll,NA
N4410,8/24/2020,2020,PORT RENFREW,48.56438333,-124.61825,900,8464.34,NA,0.02,chinook,adult,troll,NA
N4411,8/24/2020,2020,PORT RENFREW,48.56586667,-124.6234833,870,8182.2,NA,15.385,chinook,adult,troll,NA
N4412,8/24/2020,2020,PORT RENFREW,48.56453333,-124.62,810,6184.09,NA,1.505,chinook,adult,troll,NA
N4413,8/24/2020,2020,PORT RENFREW,48.56506667,-124.6174333,795,6339.3,NA,0,chinook,adult,troll,NA
N4414,8/24/2020,2020,PORT RENFREW,48.56665,-124.6285,890,8370.29,NA,0,chinook,adult,troll,NA
N4415,8/24/2020,2020,PORT RENFREW,48.56563333,-124.6196833,820,7260.62,NA,0,chinook,adult,troll,NA
N4416,8/25/2020,2020,PORT RENFREW,48.56318333,-124.61015,790,5262.27,NA,29.085,chinook,adult,troll,NA
N4417,8/25/2020,2020,PORT RENFREW,48.56471667,-124.61545,935,10430.5,NA,1.11,chinook,adult,troll,NA
N4418,8/25/2020,2020,PORT RENFREW,48.56585,-124.62005,820,6822.9,NA,13.91,chinook,adult,troll,NA
N4419,8/25/2020,2020,PORT RENFREW,48.5662,-124.62105,925,9223.94,NA,0,chinook,adult,troll,NA
N4420,8/26/2020,2020,PORT RENFREW,48.56293333,-124.60885,775,6179.82,NA,0.28,chinook,adult,troll,NA
N4421,8/27/2020,2020,PORT RENFREW,48.56468333,-124.61475,995,12343.75,NA,0,chinook,adult,troll,NA
N4422,8/28/2020,2020,PORT RENFREW,48.5649,-124.6167333,775,6047.63,NA,0,chinook,adult,troll,NA
N4423,8/28/2020,2020,PORT RENFREW,48.56381667,-124.6153667,905,9198.88,NA,0.395,chinook,adult,troll,NA
N4424,8/28/2020,2020,PORT RENFREW,48.56536667,-124.6177,825,7156.58,NA,3.48,chinook,adult,troll,NA
N4425,8/31/2020,2020,PORT RENFREW,48.56528333,-124.6175,800,6379.16,NA,0,chinook,adult,troll,NA
N4426,8/31/2020,2020,PORT RENFREW,48.5653,-124.6283667,810,6184.09,NA,0.075,chinook,adult,troll,NA
N4427,9/1/2020,2020,PORT RENFREW,48.55286667,-124.5527833,890,9394.32,NA,0,chinook,adult,troll,NA
N4428,9/1/2020,2020,PORT RENFREW,48.55408333,-124.55415,830,6906.11,NA,1.485,chinook,adult,troll,NA
N4429,9/1/2020,2020,PORT RENFREW,48.55355,-124.5549,795,6614.88,NA,0,chinook,adult,troll,NA
N4430,9/2/2020,2020,PORT RENFREW,48.55276667,-124.55375,790,5899.57,NA,0,chinook,adult,troll,NA
N4431,9/2/2020,2020,PORT RENFREW,48.55336667,-124.5490833,830,7806,NA,1.23,chinook,adult,troll,NA
N4432,9/2/2020,2020,PORT RENFREW,48.5527,-124.54685,800,6107.74,NA,0,chinook,adult,troll,NA
N4433,9/3/2020,2020,PORT RENFREW,48.56775,-124.6324667,815,6498.77,NA,9.545,chinook,adult,troll,NA
N4434,9/4/2020,2020,PORT RENFREW,48.55378333,-124.5618333,710,4294.73,NA,0,chinook,adult,troll,NA
N4435,9/5/2020,2020,PORT RENFREW,48.554,-124.6148167,820,6260.44,NA,0,chinook,adult,troll,NA
N4436,9/6/2020,2020,PORT RENFREW,48.55505,-124.56585,750,5600.85,NA,0.695,chinook,adult,troll,NA
N4437,9/7/2020,2020,PORT RENFREW,48.53753333,-124.4567,830,7199.95,NA,45.205,chinook,adult,troll,NA
N4438,9/8/2020,2020,PORT RENFREW,48.55313333,-124.5480667,875,7906.54,NA,0,chinook,adult,troll,NA
N4439,9/8/2020,2020,PORT RENFREW,48.55448333,-124.5626667,920,8652.44,NA,0,chinook,adult,troll,NA
N4440,9/8/2020,2020,PORT RENFREW,48.55498333,-124.5638,680,3912.65,NA,148.595,chinook,adult,troll,NA
N4441,9/8/2020,2020,PORT RENFREW,48.55391667,-124.5527833,710,4729.38,NA,0,chinook,adult,troll,NA
N4442,9/9/2020,2020,PORT RENFREW,48.55351667,-124.5516333,695,4100.84,NA,0,chinook,adult,troll,NA
N4443,9/9/2020,2020,PORT RENFREW,48.53485,-124.4593667,985,10988.28,NA,766.66,chinook,adult,troll,NA
N4444,9/10/2020,2020,PORT RENFREW,48.5523,-124.5487033,715,4218.85,NA,0.425,chinook,adult,troll,NA
N4445,9/10/2020,2020,PORT RENFREW,48.55421667,-124.5592167,700,4027.73,NA,0,chinook,adult,troll,NA
N4446,9/10/2020,2020,PORT RENFREW,48.55406667,-124.5586333,885,8323.27,NA,0,chinook,adult,troll,NA
N4447,9/10/2020,2020,PORT RENFREW,48.5549,-124.5612667,1005,12253.77,NA,126.62,chinook,adult,troll,NA
N4448,9/10/2020,2020,PORT RENFREW,48.5541,-124.55425,710,4401.43,NA,0,chinook,adult,troll,NA
N4449,9/11/2020,2020,PORT RENFREW,48.55243333,-124.5441,885,7836.16,NA,0,chinook,adult,troll,NA
N4450,9/14/2020,2020,PORT RENFREW,48.5529,-124.5478833,690,3483.54,NA,4.68,chinook,adult,troll,NA
N4830,7/3/2020,2020,WCVI,48.78199167,-125.8383917,700,7710.3,W,0,chinook,adult,troll,NA
N4831,7/3/2020,2020,WCVI,48.80529167,-125.8252833,860,17062.59,W,23.855,chinook,adult,troll,NA
N4832,7/4/2020,2020,WCVI,48.63484167,-125.6249333,630,6228.05,H,0,chinook,adult,troll,NA
N4833,7/4/2020,2020,WCVI,48.60206667,-125.654975,690,9731.78,H,0,chinook,adult,troll,NA
N4845,7/24/2020,2020,WCVI,48.91416667,-125.6242833,840,17325.76,W,0,chinook,adult,troll,NA
N4847,7/24/2020,2020,WCVI,48.85334167,-125.7707083,700,10337.36,H,0,chinook,adult,troll,NA
N4851,7/25/2020,2020,WCVI,48.63220833,-125.6286667,650,9598.98,H,0.535,chinook,adult,troll,NA
N4854,7/25/2020,2020,WCVI,48.56338333,-125.7188083,790,16294.46,W,0,chinook,adult,troll,NA
N4855,7/26/2020,2020,WCVI,48.84351667,-125.5494167,610,5378.91,W,0,chinook,adult,troll,NA
N4856,7/26/2020,2020,WCVI,48.84351667,-125.5494167,820,13817.07,W,0,chinook,adult,troll,NA
N4859,8/27/2020,2020,WCVI,48.7978,-125.681175,740,9488.68,H,0,chinook,adult,troll,NA
N4860,8/27/2020,2020,WCVI,48.79531667,-125.7201333,620,5793.41,W,0,chinook,adult,troll,NA
N4863,8/27/2020,2020,WCVI,48.75789167,-125.855475,570,3913.12,W,0,chinook,adult,troll,NA
N4866,8/27/2020,2020,WCVI,48.7713,-125.7967417,600,4984.08,H,0,chinook,adult,troll,NA
N4867,8/27/2020,2020,WCVI,48.77675833,-125.7560667,780,16712.93,H,1.24,chinook,adult,troll,NA
N4869,8/28/2020,2020,WCVI,48.796025,-125.6467417,780,13708.29,W,0,chinook,adult,troll,NA
N4870,8/28/2020,2020,WCVI,48.77404167,-125.7798833,620,6129.19,W,0.235,chinook,adult,troll,NA
N4871,8/28/2020,2020,WCVI,48.76434167,-125.8151917,680,7490.01,H,0,chinook,adult,troll,NA
N4872,8/28/2020,2020,WCVI,48.76256667,-125.8213083,740,14111.66,W,2.475,chinook,adult,troll,NA
N4874,9/1/2020,2020,WCVI,48.82413333,-125.6352833,770,11371.1,W,0,chinook,adult,troll,NA
N4877,9/1/2020,2020,WCVI,48.84065,-125.7918,700,8975.78,W,0,chinook,adult,troll,NA
N4878,9/1/2020,2020,WCVI,48.85331667,-125.7550667,700,8543.27,H,10.61,chinook,adult,troll,NA
N4879,9/8/2020,2020,WCVI,48.82730833,-125.8019167,780,11518.77,H,0,chinook,adult,troll,NA
N4881,9/8/2020,2020,WCVI,48.80071667,-125.693675,740,9957.18,H,0.345,chinook,adult,troll,NA
N4882,9/8/2020,2020,WCVI,48.80035833,-125.660375,610,5699.96,H,18.48,chinook,adult,troll,NA
N4883,9/8/2020,2020,WCVI,48.80035833,-125.660375,640,5980.29,H,37.89,chinook,adult,troll,NA
N4884,9/9/2020,2020,WCVI,48.85945833,-125.4662583,620,5793.41,W,0.735,chinook,adult,troll,NA
N4885,9/9/2020,2020,WCVI,48.8496,-125.449975,640,6326.9,H,0,chinook,adult,troll,NA
N4887,9/9/2020,2020,WCVI,48.80845,-125.6158917,700,9872.82,W,0,chinook,adult,troll,NA
N4888,9/9/2020,2020,WCVI,48.80845,-125.6158917,720,9232.23,H,0,chinook,adult,troll,NA
M7172,7/11/2019,2019,WCVI,48.79585,-126.10105,770,10860.1,W,0,chinook,adult,troll,NA
M7173,7/11/2019,2019,WCVI,48.7787,-126.0839417,680,10042.01,W,0,chinook,adult,troll,NA
M7174,7/11/2019,2019,WCVI,48.77836667,-125.8768167,840,12975.1,W,0,chinook,adult,troll,NA
M7176,7/12/2019,2019,WCVI,48.63390833,-125.6364083,610,6718.98,H,193.95,chinook,adult,troll,NA
M7178,7/12/2019,2019,WCVI,48.613125,-125.6498917,660,8462.87,H,4.36,chinook,adult,troll,NA
M7181,7/12/2019,2019,WCVI,48.62085,-125.626825,590,6498.68,W,0,chinook,adult,troll,NA
M7183,7/12/2019,2019,WCVI,48.62085,-125.626825,780,12048.3,W,0.12,chinook,adult,troll,NA
M7185,7/12/2019,2019,WCVI,48.62840833,-125.626475,640,7425.32,W,0,chinook,adult,troll,NA
M7190,7/12/2019,2019,WCVI,48.64813333,-125.624175,620,5467.08,W,0,chinook,adult,troll,NA
M7192,7/15/2019,2019,WCVI,48.93320833,-125.5810167,710,10485.04,H,0,chinook,adult,troll,NA
M7195,7/15/2019,2019,WCVI,48.84283333,-125.5340667,650,7933.04,H,0,chinook,adult,troll,NA
M7197,7/16/2019,2019,WCVI,48.59568333,-125.663,770,11893.84,W,0.07,chinook,adult,troll,NA
M7199,7/16/2019,2019,WCVI,48.59568333,-125.663,690,9284.4,H,0,chinook,adult,troll,NA
M7200,7/16/2019,2019,WCVI,48.58024167,-125.6823917,810,15446.54,H,0,chinook,adult,troll,NA
M7201,7/16/2019,2019,WCVI,48.55466667,-125.738075,830,15827.94,W,0,chinook,adult,troll,NA
M7202,7/16/2019,2019,WCVI,48.54486667,-125.763075,760,13356.8,W,0,chinook,adult,troll,NA
M7207,7/16/2019,2019,WCVI,48.53330833,-125.896575,810,14235.53,W,0,chinook,adult,troll,NA
M7211,7/17/2019,2019,WCVI,48.92758333,-125.5729417,780,10495.41,W,0,chinook,adult,troll,NA
M7212,7/17/2019,2019,WCVI,48.86951667,-125.4869167,670,8177.13,H,0,chinook,adult,troll,NA
M7213,7/17/2019,2019,WCVI,48.86695833,-125.4798833,700,8543.27,W,0,chinook,adult,troll,NA
M7216,7/24/2019,2019,WCVI,48.59335833,-125.6626417,650,7541.35,H,0,chinook,adult,troll,NA
M7217,7/24/2019,2019,WCVI,48.59335833,-125.6626417,780,14874.45,W,0,chinook,adult,troll,NA
M7218,7/24/2019,2019,WCVI,48.59335833,-125.6626417,700,7710.3,H,0,chinook,adult,troll,NA
M7219,7/24/2019,2019,WCVI,48.57025,-125.6895417,790,13311.56,H,0,chinook,adult,troll,NA
M7221,7/24/2019,2019,WCVI,48.53745,-125.774225,750,10578.02,W,31.845,chinook,adult,troll,NA
M7225,7/24/2019,2019,WCVI,48.52274167,-125.8544667,830,14587.03,H,0,chinook,adult,troll,NA
M7229,7/24/2019,2019,WCVI,48.512325,-125.8792667,770,10860.1,W,0,chinook,adult,troll,NA
M7230,7/24/2019,2019,WCVI,48.51256667,-125.853975,860,15114.27,W,0,chinook,adult,troll,NA
M7231,7/24/2019,2019,WCVI,48.51256667,-125.853975,800,14059.79,W,0,chinook,adult,troll,NA
M7233,7/24/2019,2019,WCVI,48.519,-125.81615,830,18461.71,W,1.06,chinook,adult,troll,NA
M7234,7/24/2019,2019,WCVI,48.56255,-125.69055,760,11739.37,W,0.215,chinook,adult,troll,NA
M7235,7/24/2019,2019,WCVI,48.576425,-125.6696333,730,10295.94,H,0,chinook,adult,troll,NA
M7238,7/25/2019,2019,WCVI,48.6252,-125.7980417,780,10495.41,W,0,chinook,adult,troll,NA
M7243,8/14/2019,2019,WCVI,48.764975,-125.8666917,770,12974.56,W,0,chinook,adult,troll,NA
M7245,8/15/2019,2019,WCVI,48.82771667,-125.5606,880,16116.88,W,1.73,chinook,adult,troll,NA
M7249,8/15/2019,2019,WCVI,48.80023333,-125.6587167,870,19351.43,W,0,chinook,adult,troll,NA
M7250,8/15/2019,2019,WCVI,48.80905,-125.71915,770,12974.56,W,0,chinook,adult,troll,NA
M7251,8/15/2019,2019,WCVI,48.79416667,-125.6580083,800,14651.71,W,0,chinook,adult,troll,NA
M7252,8/16/2019,2019,WCVI,48.82755833,-125.5447583,790,12202.77,W,155.5,chinook,adult,troll,NA
M7253,8/16/2019,2019,WCVI,48.81089167,-125.5809,790,12751.14,W,0,chinook,adult,troll,NA
M7254,8/16/2019,2019,WCVI,48.80431667,-125.5963833,790,13311.56,H,1.395,chinook,adult,troll,NA
M7256,8/16/2019,2019,WCVI,48.827125,-125.5553833,830,14587.03,W,0,chinook,adult,troll,NA
M7257,8/23/2019,2019,WCVI,48.59895,-125.663425,720,12132.06,H,0,chinook,adult,troll,NA
M7264,8/23/2019,2019,WCVI,48.52378333,-125.876625,910,20997.76,W,0.37,chinook,adult,troll,NA
M7171,7/11/2019,2019,WCVI,48.79289167,-126.0539167,840,16018.64,W,0,chinook,adult,troll,NA
M7175,7/11/2019,2019,WCVI,48.76696667,-125.7930167,700,9418.96,H,0,chinook,adult,troll,NA
M7177,7/12/2019,2019,WCVI,48.63390833,-125.6364083,810,11961.8,W,0.29,chinook,adult,troll,NA
M7179,7/12/2019,2019,WCVI,48.61933333,-125.638575,670,8177.13,W,0,chinook,adult,troll,NA
M7180,7/12/2019,2019,WCVI,48.6262,-125.6230083,800,14651.71,W,245.71,chinook,adult,troll,NA
M7182,7/12/2019,2019,WCVI,48.62085,-125.626825,730,12300.56,H,0,chinook,adult,troll,NA
M7184,7/12/2019,2019,WCVI,48.62085,-125.626825,770,12428.33,W,0,chinook,adult,troll,NA
M7186,7/12/2019,2019,WCVI,48.62840833,-125.626475,720,11621.29,W,0,chinook,adult,troll,NA
M7187,7/12/2019,2019,WCVI,48.63054167,-125.6277667,680,9149.85,W,0,chinook,adult,troll,NA
M7188,7/12/2019,2019,WCVI,48.63054167,-125.6277667,710,12478.06,W,0,chinook,adult,troll,NA
M7189,7/12/2019,2019,WCVI,48.63058333,-125.6300417,630,6939.27,W,0,chinook,adult,troll,NA
M7191,7/15/2019,2019,WCVI,48.92016667,-125.55615,760,11223.42,W,252.885,chinook,adult,troll,NA
