fish_num,pdate,fishingset_year,fishingset_location,latitude,longitude,fork_length_mm,mass_g,hatchery_wild,tmar_load,species,lifestage,capture,cons_unit
M7071,6/14/2019,2019,PORT RENFREW,48.55421667,-124.5540833,840,6554.85,NA,17632.795,chinook,adult,troll,NA
M7072,6/14/2019,2019,PORT RENFREW,48.55295,-124.5478667,880,7477.1,NA,29.1,chinook,adult,troll,NA
M7073,6/20/2019,2019,PORT RENFREW,48.55426667,-124.5557667,920,9530.32,NA,2.52,chinook,adult,troll,NA
M7074,6/22/2019,2019,PORT RENFREW,48.55278,-124.5545833,850,7222.2,NA,0,chinook,adult,troll,NA
M7075,6/22/2019,2019,PORT RENFREW,48.55278333,-124.5481167,850,7222.2,NA,0,chinook,adult,troll,NA
M7076,6/24/2019,2019,PORT RENFREW,48.55205,-124.5465167,900,8132.44,NA,0,chinook,adult,troll,NA
M7077,6/24/2019,2019,PORT RENFREW,48.553,-124.55205,860,7614.8,NA,0,chinook,adult,troll,NA
M7078,6/25/2019,2019,PORT RENFREW,48.55283333,-124.54855,860,7307.16,NA,0,chinook,adult,troll,NA
M7079,6/25/2019,2019,PORT RENFREW,48.5532,-124.55755,830,7052.26,NA,0,chinook,adult,troll,NA
M7080,6/25/2019,2019,PORT RENFREW,48.55366667,-124.55185,820,7113.2,NA,0,chinook,adult,troll,NA
M7081,6/25/2019,2019,PORT RENFREW,48.55261667,-124.55755,940,10108.42,NA,0,chinook,adult,troll,NA
M7082,6/26/2019,2019,PORT RENFREW,48.55381667,-124.5535333,920,9351.35,NA,0,chinook,adult,troll,NA
M7083,6/28/2019,2019,PORT RENFREW,48.55195,-124.5489333,1005,13565.78,NA,0,chinook,adult,troll,NA
M7084,6/28/2019,2019,PORT RENFREW,48.5541,-124.5549667,840,6698.12,NA,0,chinook,adult,troll,NA
M7085,6/28/2019,2019,PORT RENFREW,48.55286667,-124.5501833,850,7373.44,NA,0,chinook,adult,troll,NA
M7086,6/28/2019,2019,PORT RENFREW,48.5537,-124.5533333,900,8802.88,NA,0,chinook,adult,troll,NA
M7087,6/28/2019,2019,PORT RENFREW,48.55318333,-124.5508167,890,9046.42,NA,0,chinook,adult,troll,NA
M7088,6/29/2019,2019,PORT RENFREW,48.55378333,-124.5511833,980,11132.17,NA,0,chinook,adult,troll,NA
M7089,6/30/2019,2019,PORT RENFREW,48.55181667,-124.54885,880,8276.25,NA,0,chinook,adult,troll,NA
M7090,7/2/2019,2019,PORT RENFREW,48.5532,-124.5460333,860,6422.31,NA,0,chinook,adult,troll,NA
M7091,7/3/2019,2019,PORT RENFREW,48.55386667,-124.55135,830,6476.82,NA,0,chinook,adult,troll,NA
M7092,7/3/2019,2019,PORT RENFREW,48.55216667,-124.5395667,860,7771,NA,0,chinook,adult,troll,NA
M7093,7/4/2019,2019,PORT RENFREW,48.55306667,-124.5546667,965,9996.48,NA,0,chinook,adult,troll,NA
M7094,7/4/2019,2019,PORT RENFREW,48.552,-124.5411833,790,6435.63,NA,0,chinook,adult,troll,NA
M7095,7/5/2019,2019,PORT RENFREW,48.55268333,-124.5528167,920,8824.62,NA,0,chinook,adult,troll,NA
M7096,7/5/2019,2019,PORT RENFREW,48.55345,-124.55175,890,6646.35,NA,0,chinook,adult,troll,NA
M7097,7/5/2019,2019,PORT RENFREW,48.55066667,-124.54305,930,10374.72,NA,0,chinook,adult,troll,NA
M7098,7/8/2019,2019,PORT RENFREW,48.55416667,-124.55525,895,8087.26,NA,0,chinook,adult,troll,NA
M7099,7/8/2019,2019,PORT RENFREW,48.55316667,-124.5496167,940,10296.48,NA,0,chinook,adult,troll,NA
M7100,7/8/2019,2019,PORT RENFREW,48.5532,-124.55565,915,9839.58,NA,0,chinook,adult,troll,NA
M7101,7/9/2019,2019,PORT RENFREW,48.5531,-124.5502333,840,6842.94,NA,0,chinook,adult,troll,NA
M7102,7/9/2019,2019,PORT RENFREW,48.5536,-124.55395,830,7652.2,NA,0,chinook,adult,troll,NA
M7103,7/9/2019,2019,PORT RENFREW,48.55343333,-124.5482333,885,6906,NA,0,chinook,adult,troll,NA
M7104,7/9/2019,2019,PORT RENFREW,48.55398333,-124.5543333,1005,12467.8,NA,0,chinook,adult,troll,NA
M7105,7/10/2019,2019,PORT RENFREW,48.53878333,-124.4572333,980,11948.95,NA,0,chinook,adult,troll,NA
M7106,7/10/2019,2019,PORT RENFREW,48.5387,-124.4569,920,10077.41,NA,0,chinook,adult,troll,NA
M7107,7/12/2019,2019,PORT RENFREW,48.55451667,-124.55285,1000,10953.7,NA,0,chinook,adult,troll,NA
M7108,7/12/2019,2019,PORT RENFREW,48.53945,-124.45545,960,9944.68,NA,0,chinook,adult,troll,NA
M7109,7/14/2019,2019,PORT RENFREW,48.56516667,-124.6192,870,8675.49,NA,0,chinook,adult,troll,NA
M7110,7/14/2019,2019,PORT RENFREW,48.56016667,-124.6207167,1000,12837.25,NA,17.6,chinook,adult,troll,NA
M7111,7/15/2019,2019,PORT RENFREW,48.56696667,-124.6277667,885,8323.27,NA,0,chinook,adult,troll,NA
M7112,7/16/2019,2019,PORT RENFREW,48.56418333,-124.6247833,830,6906.11,NA,0,chinook,adult,troll,NA
M7113,7/16/2019,2019,PORT RENFREW,48.56475,-124.61845,830,5791.95,NA,0,chinook,adult,troll,NA
M7114,7/16/2019,2019,PORT RENFREW,48.56466667,-124.6194833,865,7659.07,NA,0,chinook,adult,troll,NA
M7115,7/22/2019,2019,PORT RENFREW,48.69018333,-124.9534167,835,7094.75,NA,0,chinook,adult,troll,NA
M7116,7/22/2019,2019,PORT RENFREW,48.69025,-124.9463333,860,7614.8,NA,0,chinook,adult,troll,NA
M7117,7/22/2019,2019,PORT RENFREW,48.67998333,-124.9241167,850,8153.18,NA,0,chinook,adult,troll,NA
M7118,7/22/2019,2019,PORT RENFREW,48.68621667,-124.9362,830,6198.28,NA,0,chinook,adult,troll,NA
