"fish","fish_health_num","stock","stock_prob","cu_name","cu","cu_prob","agg_name","agg_prob"
"CK62","M7196","ABERNATHY_RIVER",97.82214,"Lower Columbia River","LCR",97.82214,"Low Col.",100
"CK65","M7197","HARRISON_RIVER",82.24975,"Lower Fraser River_FA_0.3","LFR-fall",99.99999,"Fraser Fall",99.99999
"CK66","M7198","COWEEMAN",75.2477,"Lower Columbia River","LCR",90.86033,"Low Col.",91.41377
"CK67","M7199","CAPILANO_RIVER",100,"Lower Fraser River_FA_0.3","LFR-fall",100,"Fraser Fall",100
"CK69","M7200","SOOS_CREEK",98.20898,"South Puget Sound","SPS",99.99994,"South Puget",100
"CK72","M7201",NA,NA,NA,NA,NA,"Fraser Sub.",NA
"CK73","M7202","CAPILANO_RIVER",67.79074,"Lower Fraser River_FA_0.3","LFR-fall",99.99999,"Fraser Fall",99.99999
"CK75","M7203","ROBERTSON_CREEK",100,"West Vancouver Island-South_FA_0.x","SWVI",100,"WCVI",100
"CK77","M7204","HANFORD_REACH",99.35196,"Upper Columbia River_SU_FA","UCR-SuF",99.90622,"Up Col.",99.9991
"CK79","M7205","BATTLE_CREEK",33.7915,"California Central Valley_Fall","CACV-F",66.70533,"Cali",100
"CK80","M7206","HANFORD_REACH",96.77816,"Upper Columbia River_SU_FA","UCR-SuF",97.17805,"Up Col.",100
"CK82","M7207","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE",99.89261,"South Thompson_SU_0.3","STh-0.3",100,"Fraser 4.1",100
"CK85","M7208","HANFORD_REACH",96.61961,"Upper Columbia River_SU_FA","UCR-SuF",96.67373,"Up Col.",100.00001
"CK90","M7209","ROBERTSON_CREEK",99.51713,"West Vancouver Island-South_FA_0.x","SWVI",99.99998,"WCVI",100.00001
"CK91","M7210","LYON'S_FERRY",99.94606,"Snake River_FA","SR-F",99.94606,"Up Col.",100.00001
"CK94","M7211","COWICHAN_RIVER",99.99941,"East Vancouver Island-Georgia Strait_SU_0.3","EVIGStr-sum",99.99941,"ECVI",100.00001
"CK97","M7212","SOOS_CREEK",86.6367,"South Puget Sound","SPS",98.98868,"South Puget",100.00001
"CK99","M7213","EAGLE_RIVER",56.04504,"South Thompson_SU_1.3","STh-1.3",99.75962,"Fraser Year.",100.00001
"CK101","M7214","ABERNATHY_RIVER",99.96279,"Lower Columbia River","LCR",99.99945,"Low Col.",99.99999
"CK111","M7215","HUNTER_CREEK",46.093,"South Oregon coastal","SOR",76.31763,"WA_OR",99.99998
"CK114","M7216","SOOS_CREEK",71.53946,"South Puget Sound","SPS",78.48862,"South Puget",100
"CK115","M7217","CHILLIWACK_VEDDER_RIVER",100,"Lower Fraser River_FA_0.3","LFR-fall",100,"Fraser Fall",100
"CK116","M7218","CHILLIWACK_VEDDER_RIVER",73.57984,"Lower Fraser River_FA_0.3","LFR-fall",100,"Fraser Fall",100
"CK118","M7219","SOOS_CREEK",80.42912,"South Puget Sound","SPS",88.63791,"South Puget",100.00001
"CK120","M7220","MERCED_RIVER",98.10445,"California Central Valley_Fall","CACV-F",99.35218,"Cali",100
"CK122","M7221","LITTLE_RIVER",74.3346,"South Thompson_SU_0.3","STh-0.3",99.99996,"Fraser 4.1",100
"CK123","M7222","UMPQUA_SPRING",99.99993,"South Oregon coastal","SOR",99.99993,"WA_OR",99.99993
"CK126","M7223","ABERNATHY_RIVER",99.99997,"Lower Columbia River","LCR",99.99997,"Low Col.",100
"CK127","M7224","HANFORD_REACH",94.21571,"Upper Columbia River_SU_FA","UCR-SuF",95.07996,"Up Col.",100.00001
"CK128","M7225","SOOS_CREEK",85.24181,"South Puget Sound","SPS",99.99682,"South Puget",100
"CK130","M7226","HANFORD_REACH",89.7745,"Upper Columbia River_SU_FA","UCR-SuF",89.77584,"Up Col.",100
"CK131","M7227","MERCED_RIVER",94.00038,"California Central Valley_Fall","CACV-F",96.93389,"Cali",99.99999
"CK132","M7228","ROBERTSON_CREEK",99.98485,"West Vancouver Island-South_FA_0.x","SWVI",99.99999,"WCVI",99.99999
"CK133","M7229","HARRISON_RIVER",85.12625,"Lower Fraser River_FA_0.3","LFR-fall",100,"Fraser Fall",100
"CK134","M7230","LITTLE_RIVER",66.70233,"South Thompson_SU_0.3","STh-0.3",100,"Fraser 4.1",100
"CK135","M7231","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE",94.60272,"South Thompson_SU_0.3","STh-0.3",99.99851,"Fraser 4.1",100
"CK136","M7232","HANFORD_REACH",95.25139,"Upper Columbia River_SU_FA","UCR-SuF",95.2519,"Up Col.",100
"CK138","M7233","HARRISON_RIVER",92.56994,"Lower Fraser River_FA_0.3","LFR-fall",99.99999,"Fraser Fall",99.99999
"CK144","M7234","LITTLE_RIVER",98.15958,"South Thompson_SU_0.3","STh-0.3",99.99978,"Fraser 4.1",100
"CK147","M7235","SOOS_CREEK",63.99152,"South Puget Sound","SPS",99.99998,"South Puget",100
"CK150","M7236","MERCED_RIVER",64.2162,"California Central Valley_Fall","CACV-F",96.63535,"Cali",100
"CK157","M7237","HANFORD_REACH",70.46748,"Upper Columbia River_SU_FA","UCR-SuF",70.48713,"Up Col.",100
"CK174","M7238","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE",62.62474,"South Thompson_SU_0.3","STh-0.3",99.99994,"Fraser 4.1",100
"CK186","M7239","FORKS_CREEK_HATCHERY",100,"Coastal Washington","COWA",100,"WA_OR",100
"CK194","M7241","FORKS_CREEK_HATCHERY",99.99886,"Coastal Washington","COWA",100,"WA_OR",100
"CK195","M7242","FORKS_CREEK_HATCHERY",99.9971,"Coastal Washington","COWA",99.99959,"WA_OR",99.99959
"CK196","M7243","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE",40.36911,"South Thompson_SU_0.3","STh-0.3",70.94658,"Fraser 4.1",100
"CK197","M7244","FORKS_CREEK_HATCHERY",100,"Coastal Washington","COWA",100,"WA_OR",100
"CK198","M7245","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE",74.13345,"South Thompson_SU_0.3","STh-0.3",99.99992,"Fraser 4.1",99.99992
"CK200","M7246","SOOKE_RIVER",99.98882,"West Vancouver Island-South_FA_0.x","SWVI",99.99997,"WCVI",99.99999
"CK202","M7247","HANFORD_REACH",88.14577,"Upper Columbia River_SU_FA","UCR-SuF",88.14915,"Up Col.",100
"CK203","M7248","SOOKE_RIVER",99.96382,"West Vancouver Island-South_FA_0.x","SWVI",100,"WCVI",100
"CK204","M7249","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE",97.66993,"South Thompson_SU_0.3","STh-0.3",100,"Fraser 4.1",100
"CK208","M7250","RAFT_RIVER",87.42982,"North Thompson_SU_1.3","NTh-sum",99.84532,"Fraser Year.",100
"CK210","M7251","LITTLE_RIVER",90.19662,"South Thompson_SU_0.3","STh-0.3",99.96345,"Fraser 4.1",100
"CK215","M7252","LITTLE_RIVER",99.65421,"South Thompson_SU_0.3","STh-0.3",99.99999,"Fraser 4.1",100
"CK223","M7253","LITTLE_RIVER",96.25013,"South Thompson_SU_0.3","STh-0.3",99.99994,"Fraser 4.1",99.99999
"CK224","M7254","GREEN_RIVER",64.52871,"South Puget Sound","SPS",92.94373,"South Puget",99.99993
"CK226","M7255","HANFORD_REACH",81.00676,"Upper Columbia River_SU_FA","UCR-SuF",81.00735,"Up Col.",99.99999
"CK230","M7256","LITTLE_RIVER",65.87435,"South Thompson_SU_0.3","STh-0.3",100,"Fraser 4.1",100
"CK242","M7257","CHILLIWACK_VEDDER_RIVER",100,"Lower Fraser River_FA_0.3","LFR-fall",100,"Fraser Fall",100
"CK244","M7258","ABERNATHY_RIVER",99.99441,"Lower Columbia River","LCR",99.99441,"Low Col.",100
"CK247","M7259","HANFORD_REACH",98.27963,"Upper Columbia River_SU_FA","UCR-SuF",98.42617,"Up Col.",100.00001
"CK248","M7260","LYON'S_FERRY",90.36768,"Snake River_FA","SR-F",90.36768,"Up Col.",100
"CK250","M7261","HANFORD_REACH",88.7041,"Upper Columbia River_SU_FA","UCR-SuF",88.70615,"Up Col.",99.99998
"CK252","M7262","HANFORD_REACH",99.87088,"Upper Columbia River_SU_FA","UCR-SuF",99.99645,"Up Col.",100
"CK254","M7263","HANFORD_REACH",99.7928,"Upper Columbia River_SU_FA","UCR-SuF",99.79337,"Up Col.",100
"CK256","M7264","HARRISON_RIVER",92.22105,"Lower Fraser River_FA_0.3","LFR-fall",99.99999,"Fraser Fall",99.99999
"CK261","M7265","HANFORD_REACH",84.06763,"Upper Columbia River_SU_FA","UCR-SuF",84.58309,"Up Col.",100.00001
"CK262","M7266","HANFORD_REACH",98.12417,"Upper Columbia River_SU_FA","UCR-SuF",98.12428,"Up Col.",99.99999
