"fish","fish_health_num","stock","stock_prob","cu_name","cu","cu_prob","agg_name","agg_prob"
"CK01","M7171","HANFORD_REACH",97.53589,"Upper Columbia River_SU_FA","UCR-SuF",98.38428,"Up Col.",99.99998
"CK02","M7172",NA,NA,NA,NA,NA,"Fraser Sub.",NA
"CK04","M7173",NA,NA,NA,NA,NA,"Fraser Sub.",NA
"CK06","M7174",NA,NA,NA,NA,NA,"Fraser Sub.",NA
"CK08","M7175",NA,NA,NA,NA,NA,NA,NA
"CK10","M7176",NA,NA,NA,NA,NA,"South Puget",NA
"CK11","M7177",NA,NA,NA,NA,NA,NA,NA
"CK13","M7178",NA,NA,NA,NA,NA,"Fraser Sub.",NA
"CK15","M7179",NA,NA,NA,NA,NA,NA,NA
"CK16","M7180",NA,NA,"Snake River_FA","SR-F",NA,"Up Col.",NA
"CK18","M7181",NA,NA,NA,NA,NA,NA,NA
"CK19","M7182",NA,NA,NA,NA,NA,"Low Col.",NA
"CK20","M7183",NA,NA,NA,NA,NA,"Fraser Sub.",NA
"CK22","M7184",NA,NA,"Upper Columbia River_SU_FA","UCR-SuF",NA,"Up Col.",NA
"CK25","M7185","HARRISON_RIVER",95.42054,"Lower Fraser River_FA_0.3","LFR-fall",100.00001,"Fraser Fall",100.00001
"CK26","M7186","MERCED_RIVER",30.00551,"California Central Valley_Fall","CACV-F",73.03372,"Cali",99.99999
"CK30","M7187","BATTLE_CREEK",54.76977,"California Central Valley_Fall","CACV-F",94.28372,"Cali",98.04002
"CK31","M7188","ABERNATHY_RIVER",100,"Lower Columbia River","LCR",100,"Low Col.",100
"CK34","M7189","FEATHER_RIVER_SPRING",39.78836,"California Central Valley_Spring","CACV-Sp",41.56081,"Cali",100
"CK35","M7190","HARRISON_RIVER",87.31245,"Lower Fraser River_FA_0.3","LFR-fall",99.99999,"Fraser Fall",99.99999
"CK38","M7191","ROBERTSON_CREEK",100,"West Vancouver Island-South_FA_0.x","SWVI",100,"WCVI",100
"CK46","M7192","SOOS_CREEK",85.32717,"South Puget Sound","SPS",99.75834,"South Puget",100
"CK50","M7193","ABERNATHY_RIVER",99.99552,"Lower Columbia River","LCR",99.99555,"Low Col.",100.00001
"CK51","M7194","ROBERTSON_CREEK",100,"West Vancouver Island-South_FA_0.x","SWVI",100,"WCVI",100
"CK55","M7195",NA,NA,"South Puget Sound","SPS",NA,"South Puget",NA
