ReturnYear,MgmtStock,BelowBon,Type,Fin_Clip,Age,Sum of N fish
2018,BPH,N,Escapement,ad,2,4886
2018,BPH,N,Escapement,ad,3,9823
2018,BPH,N,Escapement,ad,4,374
2018,BPH,N,Escapement,ad,5,1
2018,BPH,N,Escapement,um,2,158
2018,BPH,N,Escapement,um,3,423
2018,BPH,N,Escapement,um,4,111
2018,BPH,N,Escapement,um,5,1
2018,BPH,N,Missing Fish,(blank),2,4.238633679
2018,BPH,N,Missing Fish,(blank),3,9.714753513
2018,BPH,N,Missing Fish,(blank),4,0.5998421
2018,BPH,N,Missing Fish,(blank),5,0.000967322
2018,BPH,N,Sport Fishery,ad,2,1
2018,BPH,N,Sport Fishery,ad,3,11
2018,BPH,N,Sport Fishery,ad,4,3
2018,BPH,N,Sport Fishery,um,2,1
2018,BPH,N,Sport Fishery,um,3,7
2018,BPH,N,Sport Fishery,um,4,12
2018,BPH,N,Sport Fishery,(blank),2,49
2018,BPH,N,Treaty Commercial,(blank),2,3668.646303
2018,BPH,N,Treaty Commercial,(blank),3,9821.8744
2018,BPH,N,Treaty Commercial,(blank),4,740.2119164
2018,BPH,Y,Escapement,ad,2,3150
2018,BPH,Y,Escapement,ad,3,2059
2018,BPH,Y,Escapement,um,2,70
2018,BPH,Y,Escapement,um,3,56
2018,BPH,Y,Non-tribal Commercial,(blank),2,969
2018,BPH,Y,Non-tribal Commercial,(blank),3,2795
2018,BPH,Y,Non-tribal Commercial,(blank),4,144
2018,BPH,Y,Sport Fishery,(blank),2,199
2018,BPH,Y,Sport Fishery,(blank),3,2603
2018,BPH,Y,Treaty Commercial,(blank),2,5
2018,BPH,Y,Treaty Commercial,(blank),3,19
2018,URB,N,Escapement,ad,2,1627
2018,URB,N,Escapement,ad,3,6656
2018,URB,N,Escapement,ad,4,2304
2018,URB,N,Escapement,ad,5,779
2018,URB,N,Escapement,ad,6,34
2018,URB,N,Escapement,um,2,10327
2018,URB,N,Escapement,um,3,28558
2018,URB,N,Escapement,um,4,26916
2018,URB,N,Escapement,um,5,11756
2018,URB,N,Escapement,um,6,373
2018,URB,N,Misc Tribal,ad,3,4
2018,URB,N,Misc Tribal,ad,4,4
2018,URB,N,Misc Tribal,ad,5,2
2018,URB,N,Misc Tribal,um,2,124
2018,URB,N,Misc Tribal,um,3,128
2018,URB,N,Misc Tribal,um,4,128
2018,URB,N,Misc Tribal,um,5,51
2018,URB,N,Misc Tribal,um,6,1
2018,URB,N,Missing Fish,(blank),2,91.01039915
2018,URB,N,Missing Fish,(blank),3,374.170078
2018,URB,N,Missing Fish,(blank),4,307.8775012
2018,URB,N,Missing Fish,(blank),5,131.2586914
2018,URB,N,Missing Fish,(blank),6,4.735475569
2018,URB,N,Sport Fishery,ad,2,222
2018,URB,N,Sport Fishery,ad,3,901
2018,URB,N,Sport Fishery,ad,4,251
2018,URB,N,Sport Fishery,ad,5,72
2018,URB,N,Sport Fishery,ad,6,8
2018,URB,N,Sport Fishery,um,2,1076
2018,URB,N,Sport Fishery,um,3,3816
2018,URB,N,Sport Fishery,um,4,2900
2018,URB,N,Sport Fishery,um,5,1092
2018,URB,N,Sport Fishery,um,6,86
2018,URB,N,Treaty Commercial,(blank),2,395.8032778
2018,URB,N,Treaty Commercial,(blank),3,4489.532036
2018,URB,N,Treaty Commercial,(blank),4,13248.61556
2018,URB,N,Treaty Commercial,(blank),5,7654.905149
2018,URB,N,Treaty Commercial,(blank),6,106.00265
2018,URB,Y,Non-tribal Commercial,(blank),2,13
2018,URB,Y,Non-tribal Commercial,(blank),3,200
2018,URB,Y,Non-tribal Commercial,(blank),4,920
2018,URB,Y,Non-tribal Commercial,(blank),5,998
2018,URB,Y,Non-tribal Commercial,(blank),6,56
2018,URB,Y,Sport Fishery,(blank),2,28
2018,URB,Y,Sport Fishery,(blank),3,945
2018,URB,Y,Sport Fishery,(blank),4,4887
2018,URB,Y,Sport Fishery,(blank),5,1914
2018,URB,Y,Treaty Commercial,(blank),3,1
2018,URB,Y,Treaty Commercial,(blank),4,2
2018,URB,Y,Treaty Commercial,(blank),5,8
2018,URB-S,N,Escapement,ad,2,719
2018,URB-S,N,Escapement,ad,3,507
2018,URB-S,N,Escapement,ad,4,2325
2018,URB-S,N,Escapement,ad,5,262
2018,URB-S,N,Escapement,ad,6,5
2018,URB-S,N,Escapement,um,2,3606
2018,URB-S,N,Escapement,um,3,5902
2018,URB-S,N,Escapement,um,4,7349
2018,URB-S,N,Escapement,um,5,655
2018,URB-S,N,Escapement,um,6,28
2018,URB-S,N,Missing Fish,(blank),2,55.49499029
2018,URB-S,N,Missing Fish,(blank),3,83.90655197
2018,URB-S,N,Missing Fish,(blank),4,127.2902221
2018,URB-S,N,Missing Fish,(blank),5,12.15225383
2018,URB-S,N,Missing Fish,(blank),6,0.431152889
2018,URB-S,N,Sport Fishery,ad,2,193
2018,URB-S,N,Sport Fishery,(blank),4,16
2018,URB-S,N,Sport Fishery,(blank),5,65
2018,URB-S,N,Treaty Commercial,(blank),2,34.16885093
2018,URB-S,N,Treaty Commercial,(blank),3,1363.7318
2018,URB-S,N,Treaty Commercial,(blank),4,2881.009797
2018,URB-S,N,Treaty Commercial,(blank),5,394.2559403
2018,URB-S,N,Treaty Commercial,(blank),6,3.532455898
2018,URB-S,Y,Escapement,ad,3,7
2018,URB-S,Y,Escapement,um,2,11
2018,URB-S,Y,Escapement,um,3,17
2018,URB-S,Y,Escapement,um,4,12
2018,URB-S,Y,Non-tribal Commercial,(blank),2,5
2018,URB-S,Y,Non-tribal Commercial,(blank),3,80
2018,URB-S,Y,Non-tribal Commercial,(blank),4,1191
2018,URB-S,Y,Non-tribal Commercial,(blank),5,65
2018,URB-S,Y,Sport Fishery,(blank),2,79
2018,URB-S,Y,Sport Fishery,(blank),3,416
2018,URB-S,Y,Sport Fishery,(blank),4,2274
2018,URB-S,Y,Sport Fishery,(blank),5,79
2018,URB-S,Y,Treaty Commercial,(blank),3,1
2018,URB-S,Y,Treaty Commercial,(blank),4,18
2018,URB-S,Y,Treaty Commercial,(blank),5,1
2019,BPH,N,Escapement,ad,2,7608
2019,BPH,N,Escapement,ad,3,6731
2019,BPH,N,Escapement,ad,4,1140
2019,BPH,N,Escapement,ad,5,3
2019,BPH,N,Escapement,um,2,335
2019,BPH,N,Escapement,um,3,975.4440994
2019,BPH,N,Escapement,um,4,215
2019,BPH,N,Escapement,um,5,6
2019,BPH,N,Misc Tribal,(blank),2,66.6410096
2019,BPH,N,Misc Tribal,(blank),3,45.72877921
2019,BPH,N,Misc Tribal,(blank),4,13.72560661
2019,BPH,N,Misc Tribal,(blank),5,0.180403202
2019,BPH,N,Missing Fish,(blank),2,433.4020382
2019,BPH,N,Missing Fish,(blank),3,612.6644713
2019,BPH,N,Missing Fish,(blank),4,87.9231229
2019,BPH,N,Missing Fish,(blank),5,0.738281446
2019,BPH,N,Sport Fishery,ad,2,26
2019,BPH,N,Sport Fishery,ad,3,20
2019,BPH,N,Sport Fishery,ad,4,5
2019,BPH,N,Sport Fishery,um,2,46
2019,BPH,N,Sport Fishery,um,3,33
2019,BPH,N,Sport Fishery,um,4,2
2019,BPH,N,Sport Fishery,(blank),3,564.1829653
2019,BPH,N,Treaty Commercial,(blank),2,4577.242354
2019,BPH,N,Treaty Commercial,(blank),3,9525.456359
2019,BPH,N,Treaty Commercial,(blank),4,1192.348513
2019,BPH,N,Treaty Commercial,(blank),5,12.38345182
2019,BPH,Y,Escapement,ad,2,3422.808646
2019,BPH,Y,Escapement,ad,3,4024.972106
2019,BPH,Y,Escapement,ad,4,264.3569611
2019,BPH,Y,Escapement,um,2,15
2019,BPH,Y,Escapement,um,3,8
2019,BPH,Y,Escapement,um,4,2
2019,BPH,Y,Non-tribal Commercial,(blank),2,612.7691752
2019,BPH,Y,Non-tribal Commercial,(blank),3,1266.030949
2019,BPH,Y,Non-tribal Commercial,(blank),4,311.1279018
2019,BPH,Y,Non-tribal Commercial,(blank),5,2.753411053
2019,BPH,Y,Sport Fishery,(blank),2,2490.110786
2019,BPH,Y,Sport Fishery,(blank),3,1879.548872
2019,BPH,Y,Sport Fishery,(blank),5,9.027120467
2019,URB,N,Escapement,ad,2,6100
