ReturnYear,MgmtStock,BelowBon,Type,Fin_Clip,Age,Sum of N fish
2019,URB,N,Escapement,ad,3,7079
2019,URB,N,Escapement,ad,4,5675
2019,URB,N,Escapement,ad,5,149
2019,URB,N,Escapement,um,2,19087
2019,URB,N,Escapement,um,3,26671.57379
2019,URB,N,Escapement,um,4,73361
2019,URB,N,Escapement,um,5,4051
2019,URB,N,Escapement,um,6,101
2019,URB,N,Misc Tribal,ad,3,1
2019,URB,N,Misc Tribal,um,2,4
2019,URB,N,Misc Tribal,um,3,178
2019,URB,N,Misc Tribal,um,4,425
2019,URB,N,Misc Tribal,um,5,23
2019,URB,N,Misc Tribal,um,6,1
2019,URB,N,Misc Tribal,(blank),3,14.86527218
2019,URB,N,Misc Tribal,(blank),4,122.0766986
2019,URB,N,Missing Fish,(blank),2,1255.553259
2019,URB,N,Missing Fish,(blank),3,2221.527885
2019,URB,N,Missing Fish,(blank),4,5602.724278
2019,URB,N,Missing Fish,(blank),5,290.9961297
2019,URB,N,Missing Fish,(blank),6,5.411806049
2019,URB,N,Sport Fishery,ad,4,157.0036176
2019,URB,N,Sport Fishery,um,2,203
2019,URB,N,Sport Fishery,um,3,217
2019,URB,N,Sport Fishery,um,4,284
2019,URB,N,Sport Fishery,um,5,13
2019,URB,N,Sport Fishery,(blank),2,1486.829167
2019,URB,N,Sport Fishery,(blank),3,3887
2019,URB,N,Sport Fishery,(blank),4,8687.29238
2019,URB,N,Sport Fishery,(blank),5,388
2019,URB,N,Treaty Commercial,(blank),2,222.0347968
2019,URB,N,Treaty Commercial,(blank),3,5343.651918
2019,URB,N,Treaty Commercial,(blank),4,25985.76217
2019,URB,N,Treaty Commercial,(blank),5,1284.133424
2019,URB,Y,Escapement,ad,3,6.269872097
2019,URB,Y,Non-tribal Commercial,(blank),2,189.5668101
2019,URB,Y,Non-tribal Commercial,(blank),3,404.6105986
2019,URB,Y,Non-tribal Commercial,(blank),4,1848.850605
2019,URB,Y,Non-tribal Commercial,(blank),5,554.5789551
2019,URB,Y,Sport Fishery,(blank),2,133.1860846
2019,URB,Y,Sport Fishery,(blank),3,267.5877148
2019,URB,Y,Sport Fishery,(blank),4,4891.732224
2019,URB,Y,Sport Fishery,(blank),5,86.65558621
2019,URB,Y,Sport Fishery,(blank),6,30.50734395
2019,URB-S,N,Escapement,ad,2,1328.341436
2019,URB-S,N,Escapement,ad,3,1839.022236
2019,URB-S,N,Escapement,ad,4,1623.983967
2019,URB-S,N,Escapement,ad,5,259.5052643
2019,URB-S,N,Escapement,ad,6,3
2019,URB-S,N,Escapement,um,2,3632
2019,URB-S,N,Escapement,um,3,5123.004252
2019,URB-S,N,Escapement,um,4,7651.182337
2019,URB-S,N,Escapement,um,5,693
2019,URB-S,N,Escapement,um,6,16
2019,URB-S,N,Misc Tribal,(blank),2,2.525504704
2019,URB-S,N,Misc Tribal,(blank),3,24.99373229
2019,URB-S,N,Misc Tribal,(blank),4,63.38564825
2019,URB-S,N,Misc Tribal,(blank),5,28.69824499
2019,URB-S,N,Missing Fish,(blank),2,181.3298323
2019,URB-S,N,Missing Fish,(blank),3,317.7757801
2019,URB-S,N,Missing Fish,(blank),4,433.9070695
2019,URB-S,N,Missing Fish,(blank),5,127.0409118
2019,URB-S,N,Missing Fish,(blank),6,0.650502773
2019,URB-S,N,Sport Fishery,(blank),2,16
2019,URB-S,N,Sport Fishery,(blank),3,574.0143618
2019,URB-S,N,Sport Fishery,(blank),4,175.3615119
2019,URB-S,N,Sport Fishery,(blank),5,161.8291667
2019,URB-S,N,Treaty Commercial,(blank),2,285.6969545
2019,URB-S,N,Treaty Commercial,(blank),3,1599.696724
2019,URB-S,N,Treaty Commercial,(blank),4,3132.024213
2019,URB-S,N,Treaty Commercial,(blank),5,2567.600739
2019,URB-S,Y,Escapement,ad,2,6.155947103
2019,URB-S,Y,Escapement,ad,3,5.743145714
2019,URB-S,Y,Escapement,ad,4,1.89001627
2019,URB-S,Y,Escapement,ad,5,4.726677964
2019,URB-S,Y,Non-tribal Commercial,(blank),3,116.0932665
2019,URB-S,Y,Non-tribal Commercial,(blank),4,617.0266627
2019,URB-S,Y,Non-tribal Commercial,(blank),5,281.9238149
2019,URB-S,Y,Sport Fishery,(blank),2,207.4151052
2019,URB-S,Y,Sport Fishery,(blank),3,1512.658495
2019,URB-S,Y,Sport Fishery,(blank),4,2287.068561
2019,URB-S,Y,Sport Fishery,(blank),5,663.0869641
2019,URB-S,Y,Sport Fishery,(blank),6,21.46336232
2020,BPH,N,Escapement,ad,2,7179
2020,BPH,N,Escapement,ad,3,10020
2020,BPH,N,Escapement,ad,4,558
2020,BPH,N,Escapement,ad,5,3
2020,BPH,N,Escapement,ad,6,1
2020,BPH,N,Escapement,um,2,328
2020,BPH,N,Escapement,um,3,550
2020,BPH,N,Escapement,um,4,433
2020,BPH,N,Escapement,um,5,18
2020,BPH,N,Escapement,um,6,1
2020,BPH,N,Escapement,(blank),3,44.94892812
2020,BPH,N,Escapement,(blank),4,61.44703657
2020,BPH,N,Escapement,(blank),5,2.356872636
2020,BPH,N,Missing Fish,(blank),2,3108.079163
2020,BPH,N,Missing Fish,(blank),3,6677.170716
2020,BPH,N,Missing Fish,(blank),4,795.3478028
2020,BPH,N,Missing Fish,(blank),5,23.32670884
2020,BPH,N,Missing Fish,(blank),6,0.49571308
2020,BPH,N,Sport Fishery,ad,2,19.63636364
2020,BPH,N,Sport Fishery,ad,3,29.89208633
2020,BPH,N,Sport Fishery,ad,4,41.98561151
2020,BPH,N,Sport Fishery,ad,5,3.165467626
2020,BPH,N,Sport Fishery,um,2,4.363636364
2020,BPH,N,Sport Fishery,um,3,5.697841727
2020,BPH,N,Sport Fishery,um,4,16.46043165
2020,BPH,N,Sport Fishery,um,5,3.798561151
2020,BPH,N,Treaty Commercial,(blank),2,5008.831163
2020,BPH,N,Treaty Commercial,(blank),3,16289.12035
2020,BPH,N,Treaty Commercial,(blank),4,2098.010761
2020,BPH,N,Treaty Commercial,(blank),5,63.79285025
2020,BPH,Y,Escapement,ad,2,654.9431831
2020,BPH,Y,Escapement,ad,3,4644.673095
2020,BPH,Y,Escapement,ad,4,99.64643046
2020,BPH,Y,Escapement,um,3,10
2020,BPH,Y,Non-tribal Commercial,(blank),2,500.6390707
2020,BPH,Y,Non-tribal Commercial,(blank),3,7463.602898
2020,BPH,Y,Non-tribal Commercial,(blank),4,685.8238048
2020,BPH,Y,Sport Fishery,(blank),2,1279.093791
2020,BPH,Y,Sport Fishery,(blank),3,1631.253162
2020,URB,N,Escapement,ad,2,1933
2020,URB,N,Escapement,ad,3,27153.41055
2020,URB,N,Escapement,ad,4,11665.56814
2020,URB,N,Escapement,ad,5,466.9679735
2020,URB,N,Escapement,ad,6,50
2020,URB,N,Escapement,um,2,19702
2020,URB,N,Escapement,um,3,42285.47337
2020,URB,N,Escapement,um,4,54186.45562
2020,URB,N,Escapement,um,5,10292.2662
2020,URB,N,Escapement,(blank),2,143
2020,URB,N,Escapement,(blank),3,1053
2020,URB,N,Escapement,(blank),4,1335
2020,URB,N,Escapement,(blank),5,56
2020,URB,N,Misc Tribal,um,2,73.7704918
2020,URB,N,Misc Tribal,um,3,679.7027552
2020,URB,N,Misc Tribal,um,4,400.016454
2020,URB,N,Misc Tribal,um,5,19.51299776
2020,URB,N,Misc Tribal,(blank),2,1.538226509
2020,URB,N,Misc Tribal,(blank),3,42.64335175
2020,URB,N,Misc Tribal,(blank),4,90.20356844
2020,URB,N,Misc Tribal,(blank),5,13.32182679
2020,URB,N,Missing Fish,(blank),2,1757.631591
2020,URB,N,Missing Fish,(blank),3,5897.375517
2020,URB,N,Missing Fish,(blank),4,8404.883537
2020,URB,N,Missing Fish,(blank),5,1768.486643
2020,URB,N,Missing Fish,(blank),6,0.319722307
2020,URB,N,Sport Fishery,ad,4,3
2020,URB,N,Sport Fishery,um,2,51
2020,URB,N,Sport Fishery,um,3,222
2020,URB,N,Sport Fishery,um,4,131
2020,URB,N,Sport Fishery,um,5,6
2020,URB,N,Sport Fishery,(blank),2,1377
2020,URB,N,Sport Fishery,(blank),3,8769.587065
2020,URB,N,Sport Fishery,(blank),4,6113.262205
2020,URB,N,Sport Fishery,(blank),5,990
2020,URB,N,Treaty Commercial,(blank),2,898.4776224
2020,URB,N,Treaty Commercial,(blank),3,14915.15495
2020,URB,N,Treaty Commercial,(blank),4,27748.02879
2020,URB,N,Treaty Commercial,(blank),5,6645.524805
2020,URB,Y,Escapement,ad,3,1.364115331
2020,URB,Y,Non-tribal Commercial,(blank),2,81.25388389
2020,URB,Y,Non-tribal Commercial,(blank),3,2427.88296
2020,URB,Y,Non-tribal Commercial,(blank),4,5988.54739
2020,URB,Y,Non-tribal Commercial,(blank),5,1845.385068
2020,URB,Y,Sport Fishery,(blank),2,639.324989
2020,URB,Y,Sport Fishery,(blank),3,6384.113577
2020,URB,Y,Sport Fishery,(blank),4,5429.064992
2020,URB,Y,Sport Fishery,(blank),5,853.3462253
2020,URB,Y,Sport Fishery,(blank),6,12.15131006
2020,URB,Y,Treaty Commercial,(blank),3,68.73786281
2020,URB,Y,Treaty Commercial,(blank),4,88.09335202
2020,URB,Y,Treaty Commercial,(blank),5,11.64493233
2020,URB-S,N,Escapement,ad,2,6056
2020,URB-S,N,Escapement,ad,3,8486.572218
2020,URB-S,N,Escapement,ad,4,5518.225574
2020,URB-S,N,Escapement,ad,5,307
2020,URB-S,N,Escapement,ad,6,5
2020,URB-S,N,Escapement,um,2,596.0473259
2020,URB-S,N,Escapement,um,3,7166
2020,URB-S,N,Escapement,um,4,5861.34237
2020,URB-S,N,Escapement,um,5,579
2020,URB-S,N,Escapement,um,6,21
2020,URB-S,N,Escapement,(blank),2,32
2020,URB-S,N,Escapement,(blank),3,5
2020,URB-S,N,Escapement,(blank),4,1
2020,URB-S,N,Misc Tribal,(blank),3,2.360617942
2020,URB-S,N,Misc Tribal,(blank),5,0.13443741
2020,URB-S,N,Missing Fish,(blank),2,1078.426068
2020,URB-S,N,Missing Fish,(blank),3,3152.72272
2020,URB-S,N,Missing Fish,(blank),4,2211.843486
2020,URB-S,N,Missing Fish,(blank),5,247.0309224
2020,URB-S,N,Missing Fish,(blank),6,3.620126308
2020,URB-S,N,Sport Fishery,(blank),2,72
2020,URB-S,N,Sport Fishery,(blank),3,258.9959728
2020,URB-S,N,Sport Fishery,(blank),4,147.5970516
2020,URB-S,N,Sport Fishery,(blank),5,209.9087097
2020,URB-S,N,Treaty Commercial,(blank),2,712.6866545
2020,URB-S,N,Treaty Commercial,(blank),3,4097.047805
2020,URB-S,N,Treaty Commercial,(blank),4,2493.840297
2020,URB-S,N,Treaty Commercial,(blank),5,322.1369196
2020,URB-S,Y,Escapement,ad,3,1.371637716
2020,URB-S,Y,Escapement,um,4,2.082191781
2020,URB-S,Y,Non-tribal Commercial,(blank),2,345.0943575
2020,URB-S,Y,Non-tribal Commercial,(blank),3,257.9735998
2020,URB-S,Y,Non-tribal Commercial,(blank),4,846.2927338
2020,URB-S,Y,Non-tribal Commercial,(blank),5,130.2761202
2020,URB-S,Y,Sport Fishery,(blank),2,92.13115943
2020,URB-S,Y,Sport Fishery,(blank),3,1256.17133
2020,URB-S,Y,Sport Fishery,(blank),4,716.5635049
2020,URB-S,Y,Sport Fishery,(blank),5,207.3435991
2020,URB-S,Y,Sport Fishery,(blank),6,0.876495159
2021,BPH,N,Escapement,ad,2,28410.53392
2021,BPH,N,Escapement,ad,3,20796.42006
2021,BPH,N,Escapement,ad,4,3697.997853
2021,BPH,N,Escapement,ad,5,7
2021,BPH,N,Escapement,um,2,719.5655738
2021,BPH,N,Escapement,um,3,1065.403531
2021,BPH,N,Escapement,um,4,548.8007566
2021,BPH,N,Escapement,um,5,29.52522068
2021,BPH,N,Missing Fish,(blank),2,3427.640855
2021,BPH,N,Missing Fish,(blank),3,3787
2021,BPH,N,Missing Fish,(blank),4,668.7333295
2021,BPH,N,Missing Fish,(blank),5,7.896394338
2021,BPH,N,Sport Fishery,ad,2,100
2021,BPH,N,Sport Fishery,ad,3,103.4782609
2021,BPH,N,Sport Fishery,ad,4,88.69565217
2021,BPH,N,Sport Fishery,um,2,150
2021,BPH,N,Sport Fishery,um,3,73.91304348
2021,BPH,N,Sport Fishery,um,4,29.56521739
2021,BPH,N,Sport Fishery,(blank),2,30
2021,BPH,N,Sport Fishery,(blank),3,43
2021,BPH,N,Sport Fishery,(blank),4,16
2021,BPH,N,Sport Fishery,(blank),5,2
2021,BPH,N,Treaty Commercial,(blank),2,7617.729451
2021,BPH,N,Treaty Commercial,(blank),3,18969.40185
2021,BPH,N,Treaty Commercial,(blank),4,2843.076415
2021,BPH,N,Treaty Commercial,(blank),5,46.77728071
2021,BPH,Y,Escapement,ad,2,315.0718117
2021,BPH,Y,Escapement,ad,3,2109.295929
2021,BPH,Y,Escapement,ad,4,643.8195792
2021,BPH,Y,Non-tribal Commercial,(blank),2,1601.284477
2021,BPH,Y,Non-tribal Commercial,(blank),3,8027.262836
2021,BPH,Y,Non-tribal Commercial,(blank),4,3426.066278
2021,BPH,Y,Non-tribal Commercial,(blank),5,7.503944952
2021,BPH,Y,Sport Fishery,(blank),2,1863.026421
2021,BPH,Y,Sport Fishery,(blank),3,5098.906222
2021,BPH,Y,Sport Fishery,(blank),4,1520.836292
2021,URB,N,Escapement,ad,2,3873.038139
2021,URB,N,Escapement,ad,3,8576.761337
2021,URB,N,Escapement,ad,4,40821.74667
2021,URB,N,Escapement,ad,5,648.8549741
2021,URB,N,Escapement,um,2,19576.54892
2021,URB,N,Escapement,um,3,25874.89991
2021,URB,N,Escapement,um,4,48116.78926
2021,URB,N,Escapement,um,5,7118.65073
2021,URB,N,Escapement,(blank),2,206
2021,URB,N,Escapement,(blank),3,219
2021,URB,N,Escapement,(blank),4,1691
2021,URB,N,Escapement,(blank),5,219
2021,URB,N,Misc Tribal,um,2,29
2021,URB,N,Misc Tribal,um,3,77.1525229
2021,URB,N,Misc Tribal,um,4,143.598435
2021,URB,N,Misc Tribal,um,5,21.24904206
2021,URB,N,Misc Tribal,(blank),2,1
2021,URB,N,Misc Tribal,(blank),3,12
2021,URB,N,Misc Tribal,(blank),4,145
2021,URB,N,Misc Tribal,(blank),5,7
2021,URB,N,Missing Fish,(blank),2,640.0525798
2021,URB,N,Missing Fish,(blank),3,635.4173817
2021,URB,N,Missing Fish,(blank),4,2499.789514
2021,URB,N,Missing Fish,(blank),5,276.5797923
2021,URB,N,Sport Fishery,um,2,215
2021,URB,N,Sport Fishery,um,3,118.598093
2021,URB,N,Sport Fishery,um,4,220.7380902
2021,URB,N,Sport Fishery,um,5,32.66381673
2021,URB,N,Sport Fishery,(blank),2,935
2021,URB,N,Sport Fishery,(blank),3,3646.854792
2021,URB,N,Sport Fishery,(blank),4,8843.125256
2021,URB,N,Sport Fishery,(blank),5,620.2362091
2021,URB,N,Treaty Commercial,(blank),2,98.12940853
2021,URB,N,Treaty Commercial,(blank),3,2240.894082
2021,URB,N,Treaty Commercial,(blank),4,18079.26767
2021,URB,N,Treaty Commercial,(blank),5,1704.979241
2021,URB,Y,Escapement,ad,2,15
2021,URB,Y,Escapement,ad,4,2.163338989
2021,URB,Y,Non-tribal Commercial,(blank),2,82.19144717
2021,URB,Y,Non-tribal Commercial,(blank),3,1123.96707
2021,URB,Y,Non-tribal Commercial,(blank),4,4638.687751
2021,URB,Y,Non-tribal Commercial,(blank),5,563.7531533
2021,URB,Y,Sport Fishery,(blank),2,1487.143057
2021,URB,Y,Sport Fishery,(blank),3,1182.167808
2021,URB,Y,Sport Fishery,(blank),4,9433.084842
2021,URB,Y,Sport Fishery,(blank),5,2135.975971
2021,URB-S,N,Escapement,ad,2,4562.968048
2021,URB-S,N,Escapement,ad,3,10571.75788
2021,URB-S,N,Escapement,ad,4,12318.98392
2021,URB-S,N,Escapement,ad,5,430.2852724
2021,URB-S,N,Escapement,ad,6,5
2021,URB-S,N,Escapement,um,2,1004
2021,URB-S,N,Escapement,um,3,4679
2021,URB-S,N,Escapement,um,4,4591.713193
2021,URB-S,N,Escapement,um,5,490
2021,URB-S,N,Escapement,um,6,10
2021,URB-S,N,Escapement,(blank),2,34
2021,URB-S,N,Escapement,(blank),3,55.37102324
2021,URB-S,N,Escapement,(blank),4,38.14441631
2021,URB-S,N,Escapement,(blank),5,1
2021,URB-S,N,Misc Tribal,(blank),4,3
2021,URB-S,N,Missing Fish,(blank),2,1039.890103
2021,URB-S,N,Missing Fish,(blank),3,2702.574193
2021,URB-S,N,Missing Fish,(blank),4,2898.180855
2021,URB-S,N,Missing Fish,(blank),5,168.2216247
2021,URB-S,N,Missing Fish,(blank),6,2.405821475
2021,URB-S,N,Sport Fishery,ad,3,26.88794847
2021,URB-S,N,Sport Fishery,um,5,13.28502415
2021,URB-S,N,Sport Fishery,(blank),2,393.8377778
2021,URB-S,N,Sport Fishery,(blank),3,628.9078967
2021,URB-S,N,Sport Fishery,(blank),4,191.4048068
2021,URB-S,N,Sport Fishery,(blank),5,28.39955146
2021,URB-S,N,Treaty Commercial,(blank),2,351.3178833
2021,URB-S,N,Treaty Commercial,(blank),3,2429.488012
2021,URB-S,N,Treaty Commercial,(blank),4,2135.971076
2021,URB-S,N,Treaty Commercial,(blank),5,121.2493554
2021,URB-S,Y,Non-tribal Commercial,(blank),2,52.49699917
2021,URB-S,Y,Non-tribal Commercial,(blank),3,421.5586466
2021,URB-S,Y,Non-tribal Commercial,(blank),4,638.6006084
2021,URB-S,Y,Non-tribal Commercial,(blank),5,25.9018622
2021,URB-S,Y,Sport Fishery,(blank),2,246.8872887
2021,URB-S,Y,Sport Fishery,(blank),3,1539.028625
2021,URB-S,Y,Sport Fishery,(blank),4,748.0130088
2021,URB-S,Y,Sport Fishery,(blank),5,299.6464045
2022,BPH,N,Escapement,ad,2,25597.52837
2022,BPH,N,Escapement,ad,3,50801.67702
2022,BPH,N,Escapement,ad,4,2323.349937
2022,BPH,N,Escapement,ad,5,59
2022,BPH,N,Escapement,um,2,981.3467844
2022,BPH,N,Escapement,um,3,36663.15574
2022,BPH,N,Escapement,um,4,214.7168979
2022,BPH,N,Escapement,um,5,19
2022,BPH,N,Missing Fish,(blank),2,2943.501324
2022,BPH,N,Missing Fish,(blank),3,16783.1627
2022,BPH,N,Missing Fish,(blank),4,890.7847554
2022,BPH,N,Missing Fish,(blank),5,17.85467781
2022,BPH,N,Sport Fishery,(blank),2,400.2627437
2022,BPH,N,Sport Fishery,(blank),3,1522.684501
2022,BPH,N,Sport Fishery,(blank),4,206
2022,BPH,N,Sport Fishery,(blank),5,32
2022,BPH,N,Treaty Commercial,(blank),2,8446.730554
2022,BPH,N,Treaty Commercial,(blank),3,112922.1065
2022,BPH,N,Treaty Commercial,(blank),4,7938.8105
2022,BPH,N,Treaty Commercial,(blank),5,104.4923375
2022,BPH,Y,Escapement,ad,2,719.4742896
2022,BPH,Y,Escapement,ad,3,714.8883314
2022,BPH,Y,Escapement,ad,4,61.34200224
2022,BPH,Y,Escapement,um,2,1
2022,BPH,Y,Non-tribal Commercial,(blank),2,685.4336649
2022,BPH,Y,Non-tribal Commercial,(blank),3,13034.09036
2022,BPH,Y,Non-tribal Commercial,(blank),4,3466.535588
2022,BPH,Y,Sport Fishery,(blank),2,269.1610784
2022,BPH,Y,Sport Fishery,(blank),3,5653.950892
2022,BPH,Y,Sport Fishery,(blank),4,4803.677433
2022,BPH,Y,Treaty Commercial,(blank),2,4.820456025
2022,BPH,Y,Treaty Commercial,(blank),3,33.66217683
